,All people aged 16 to 74 in employment,"1. Managers, directors and senior officials",2. Professional occupations,3. Associate professional and technical occupations,4. Administrative and secretarial occupations,5. Skilled trades occupations,"6. Caring, leisure and other service occupations",7. Sales and customer service occupations,"8. Process, plant and machine operatives",9. Elementary occupations
S01000188,419,21,85,38,38,38,50,42,27,80
S01000189,266,8,25,15,16,30,39,21,33,79
S01000190,429,20,35,37,42,56,47,36,72,84
S01000191,708,61,235,95,92,53,33,51,33,55
S01000192,373,14,49,25,32,33,47,54,34,85
S01000193,355,22,19,23,37,54,50,43,47,60
S01000194,453,14,51,33,35,50,67,47,43,113
S01000195,365,20,22,37,30,51,45,44,39,77
S01000196,402,15,23,26,28,67,44,45,49,105
S01000197,311,11,21,36,27,56,46,16,38,60
S01000198,360,12,24,31,30,59,52,22,33,97
S01000199,401,16,44,16,21,58,39,29,52,126
S01000200,438,15,63,57,47,56,51,44,42,63
S01000201,326,14,37,37,30,41,50,31,27,59
S01000202,565,41,111,55,68,82,45,53,33,77
S01000203,333,8,25,10,23,44,36,25,46,116
S01000204,291,16,14,30,36,57,34,22,39,43
S01000205,485,29,94,40,41,57,59,40,28,97
S01000206,389,16,33,38,50,60,46,29,41,76
S01000207,399,18,26,24,35,70,48,36,46,96
S01000208,413,10,14,27,40,70,46,38,48,120
S01000209,615,18,31,39,37,92,76,58,71,193
S01000210,382,18,32,31,31,50,49,43,55,73
S01000211,342,11,44,16,23,40,49,32,44,83
S01000212,367,23,38,28,37,58,44,31,38,70
S01000213,407,25,43,45,50,51,40,33,35,85
S01000214,208,8,25,22,31,19,20,20,24,39
S01000215,596,77,147,89,68,69,31,35,22,58
S01000216,381,22,63,39,57,45,37,33,38,47
S01000217,391,12,16,34,29,64,36,26,52,122
S01000218,317,13,34,23,48,44,29,23,45,58
S01000219,414,17,24,20,27,78,56,29,48,115
S01000220,709,34,54,58,47,42,69,161,31,213
S01000221,415,22,52,72,51,49,31,41,43,54
S01000222,392,16,42,52,57,54,31,31,52,57
S01000223,410,27,65,61,65,62,36,26,32,36
S01000224,426,16,42,41,68,59,53,54,56,37
S01000225,316,31,38,50,37,40,29,36,23,32
S01000226,375,23,83,73,47,43,26,22,29,29
S01000227,783,74,201,146,112,83,37,49,46,35
S01000228,577,32,73,95,78,84,58,41,52,64
S01000229,408,22,43,45,48,58,40,35,52,65
S01000230,373,25,48,57,59,39,26,29,48,42
S01000231,459,42,92,71,64,52,28,41,34,35
S01000232,311,19,28,29,45,37,34,28,43,48
S01000233,249,16,22,22,37,34,28,20,34,36
S01000234,439,33,63,74,72,45,23,46,47,36
S01000235,499,34,85,103,77,74,26,34,33,33
S01000236,320,19,42,42,48,44,25,39,33,28
S01000237,410,25,73,71,64,55,40,27,24,31
S01000238,327,24,57,55,65,35,24,24,24,19
S01000239,361,29,57,36,64,49,27,30,23,46
S01000240,368,24,45,46,59,51,31,43,23,46
S01000241,381,54,84,44,53,39,23,40,17,27
S01000242,452,46,83,64,64,64,31,33,35,32
S01000243,388,25,62,46,68,52,33,36,25,41
S01000244,705,43,104,83,93,91,69,78,71,73
S01000245,568,35,80,83,77,85,59,52,49,48
S01000246,424,24,57,65,63,60,37,46,28,44
S01000247,397,21,65,56,76,45,37,36,31,30
S01000248,478,42,86,72,76,71,29,44,34,24
S01000249,361,34,55,41,63,48,27,29,33,31
S01000250,465,32,67,72,82,61,31,43,44,33
S01000251,289,28,45,51,47,38,17,31,13,19
S01000252,543,41,79,90,87,75,41,41,32,57
S01000253,420,34,58,58,78,51,29,47,30,35
S01000254,482,56,106,84,66,43,27,41,30,29
S01000255,404,27,55,75,63,51,33,38,29,33
S01000256,384,35,72,45,59,68,34,26,23,22
S01000257,482,44,76,60,63,80,45,34,37,43
S01000258,385,46,76,69,47,34,32,31,16,34
S01000259,381,37,63,56,59,39,28,39,21,39
S01000260,569,50,102,94,94,68,41,46,36,38
S01000261,493,41,96,73,69,57,31,40,48,38
S01000262,498,42,90,73,61,64,29,39,49,51
S01000263,476,44,90,88,60,54,29,38,33,40
S01000264,513,29,53,60,75,70,53,45,57,71
S01000265,347,20,37,39,50,51,35,28,31,56
S01000266,690,63,113,106,86,94,51,49,60,68
S01000267,354,28,32,44,40,55,37,25,44,49
S01000268,374,41,39,48,37,50,37,22,46,54
S01000269,326,46,72,49,38,45,31,9,18,18
S01000270,580,57,113,54,66,108,48,21,60,53
S01000271,441,47,97,58,27,76,34,30,46,26
S01000272,617,52,98,72,56,104,70,40,64,61
S01000273,343,29,58,48,40,52,32,14,33,37
S01000274,364,30,38,40,35,77,34,29,43,38
S01000275,750,66,112,90,71,133,87,41,77,73
S01000276,417,56,92,66,45,54,30,27,24,23
S01000277,372,50,54,49,43,50,38,28,32,28
S01000278,290,21,22,37,30,46,31,28,27,48
S01000279,476,46,102,53,56,91,33,20,41,34
S01000280,418,38,82,54,27,66,32,18,37,64
S01000281,350,35,51,29,29,75,38,21,32,40
S01000282,441,36,84,55,46,79,31,26,47,37
S01000283,581,62,135,79,55,87,34,21,52,56
S01000284,730,88,173,128,67,107,51,20,42,54
S01000285,414,47,73,50,48,85,30,21,30,30
S01000286,504,52,81,56,75,89,40,35,28,48
S01000287,369,26,109,58,52,43,19,22,18,22
S01000288,475,23,71,60,71,62,54,37,44,53
S01000289,459,38,84,53,59,59,45,28,29,64
S01000290,414,21,36,43,39,76,51,29,46,73
