,All people aged 16 to 74 in employment,"1. Managers, directors and senior officials",2. Professional occupations,3. Associate professional and technical occupations,4. Administrative and secretarial occupations,5. Skilled trades occupations,"6. Caring, leisure and other service occupations",7. Sales and customer service occupations,"8. Process, plant and machine operatives",9. Elementary occupations
S01003170,390,68,105,57,28,34,16,47,20,15
S01003171,356,78,111,38,39,14,14,36,8,18
S01003172,365,18,87,74,35,36,17,34,10,54
S01003173,347,32,97,81,26,8,22,40,13,28
S01003174,333,28,60,44,27,41,21,54,13,45
S01003175,302,17,39,31,25,31,30,44,23,62
S01003176,539,48,144,110,57,41,32,53,18,36
S01003177,496,37,194,91,53,33,25,24,13,26
S01003178,386,23,47,35,52,36,44,55,37,57
S01003179,279,15,41,45,17,28,20,48,22,43
S01003180,416,38,39,46,52,67,36,59,40,39
S01003181,320,12,26,21,33,29,46,46,41,66
S01003182,284,10,27,29,41,30,43,38,16,50
S01003183,370,26,90,67,47,29,18,35,15,43
S01003184,292,12,9,19,41,41,51,35,21,63
S01003185,195,16,19,15,16,29,28,29,16,27
S01003186,475,63,192,75,44,14,19,35,10,23
S01003187,632,63,203,125,52,34,32,58,16,49
S01003188,384,27,46,62,35,38,22,60,25,69
S01003189,396,30,62,61,51,39,24,45,19,65
S01003190,287,15,26,33,43,22,29,46,16,57
S01003191,207,10,26,19,22,17,18,29,16,50
S01003192,417,16,74,85,58,34,31,44,18,57
S01003193,990,100,183,164,117,116,91,92,67,60
S01003194,281,8,11,33,31,33,40,20,47,58
S01003195,360,36,56,43,48,42,34,45,29,27
S01003196,487,95,168,61,39,16,23,42,15,28
S01003197,408,50,66,69,58,55,25,39,25,21
S01003198,328,20,36,29,24,48,39,38,31,63
S01003199,530,41,45,62,77,71,65,77,50,42
S01003200,327,23,50,56,51,29,19,33,21,45
S01003201,100,2,3,9,9,15,13,18,5,26
S01003202,356,17,43,55,47,35,55,29,29,46
S01003203,336,23,51,29,49,36,56,31,25,36
S01003204,397,14,30,37,50,44,68,49,46,59
S01003205,301,16,28,38,41,38,29,37,27,47
S01003206,332,23,44,39,29,29,36,33,29,70
S01003207,380,36,100,61,36,32,20,39,11,45
S01003208,468,21,42,49,43,58,59,63,50,83
S01003209,285,21,64,22,40,31,29,31,25,22
S01003210,420,71,161,63,34,24,17,28,10,12
S01003211,326,27,82,74,22,22,9,39,25,26
S01003212,366,41,52,50,57,39,30,38,24,35
S01003213,231,10,11,40,30,33,25,26,23,33
S01003214,268,11,21,21,45,42,26,33,29,40
S01003215,356,18,23,41,32,37,51,56,45,53
S01003216,288,9,32,31,38,35,34,44,30,35
S01003217,223,4,12,29,25,24,28,14,30,57
S01003218,339,18,26,44,57,36,38,41,28,51
S01003219,341,12,39,56,54,28,46,48,26,32
S01003220,291,30,74,42,31,19,10,47,11,27
S01003221,314,7,20,24,34,39,46,46,30,68
S01003222,316,31,61,49,26,31,14,56,9,39
S01003223,344,16,24,36,35,39,44,53,36,61
S01003224,307,29,61,32,47,40,20,25,31,22
S01003225,185,11,13,20,20,18,20,20,19,44
S01003226,246,3,9,18,24,27,29,37,39,60
S01003227,913,81,241,157,86,75,37,106,38,92
S01003228,534,18,67,62,77,68,55,64,58,65
S01003229,434,93,171,71,24,22,6,23,6,18
S01003230,380,21,56,57,47,42,54,52,27,24
S01003231,350,12,11,29,51,64,44,38,38,63
S01003232,384,20,67,52,46,25,51,40,26,57
S01003233,479,79,85,62,64,48,40,46,33,22
S01003234,411,75,161,65,28,25,14,21,9,13
S01003235,387,26,40,30,48,44,50,47,55,47
S01003236,258,24,46,35,27,29,16,35,19,27
S01003237,339,20,13,35,39,47,38,39,44,64
S01003238,362,28,37,60,55,33,46,44,26,33
S01003239,430,18,29,37,54,69,63,57,26,77
S01003240,393,9,59,40,57,49,46,51,41,41
S01003241,371,21,50,35,60,53,42,40,37,33
S01003242,440,53,89,50,59,38,39,44,23,45
S01003243,377,25,51,62,56,45,38,41,28,31
S01003244,312,17,31,36,46,34,31,35,35,47
S01003245,395,17,54,64,44,30,41,40,32,73
S01003246,254,14,15,24,30,26,33,32,33,47
S01003247,313,22,17,24,45,37,34,32,36,66
S01003248,522,28,79,70,59,61,38,57,48,82
S01003249,379,17,50,49,51,33,33,57,35,54
S01003250,237,24,31,27,26,21,33,29,15,31
S01003251,255,3,9,13,30,21,38,37,36,68
S01003252,271,33,38,35,39,33,27,25,26,15
S01003253,302,10,25,19,39,34,33,33,26,83
S01003254,147,4,6,9,19,13,28,17,6,45
S01003255,356,13,36,42,49,35,65,39,31,46
S01003256,450,32,66,54,41,31,43,79,28,76
S01003257,309,51,95,36,30,14,12,54,9,8
S01003258,386,24,45,60,62,56,31,44,38,26
S01003259,611,45,76,88,89,78,67,65,57,46
S01003260,332,41,57,33,49,44,26,29,26,27
S01003261,407,34,96,51,69,45,29,39,17,27
S01003262,330,18,25,32,36,35,44,44,45,51
S01003263,377,10,33,29,33,44,43,61,33,91
S01003264,244,10,43,32,34,22,25,38,21,19
S01003265,250,24,60,29,31,28,23,26,15,14
S01003266,270,13,20,22,25,36,37,38,36,43
S01003267,352,22,32,47,46,46,38,48,27,46
S01003268,879,59,224,165,105,66,64,71,27,98
S01003269,385,20,34,37,51,48,38,44,41,72
S01003270,320,15,32,42,33,25,27,47,24,75
S01003271,"1,061",104,194,173,141,79,69,115,59,127
S01003272,724,45,125,113,63,63,73,76,53,113
S01003273,222,8,11,10,21,25,20,37,29,61
S01003274,174,7,17,13,16,20,19,31,11,40
S01003275,403,11,30,38,56,55,58,39,34,82
S01003276,368,25,53,54,46,40,34,52,35,29
S01003277,276,17,24,26,42,38,26,36,36,31
S01003278,360,21,68,38,53,42,32,37,26,43
S01003279,114,5,3,9,7,14,24,9,12,31
S01003280,389,61,108,44,40,28,22,37,13,36
S01003281,224,16,8,24,24,37,31,31,22,31
S01003282,373,34,90,44,40,44,26,47,24,24
S01003283,340,17,53,42,66,47,22,39,29,25
S01003284,400,18,43,58,46,50,59,42,31,53
S01003285,193,11,33,47,10,23,10,15,7,37
S01003286,361,46,67,49,38,30,22,43,26,40
S01003287,181,7,8,12,20,15,30,40,12,37
S01003288,342,28,58,37,65,46,25,35,18,30
S01003289,171,10,19,19,11,20,19,22,20,31
S01003290,369,18,36,27,49,56,38,35,42,68
S01003291,241,7,20,24,28,30,32,40,20,40
S01003292,351,27,38,40,59,45,33,52,28,29
S01003293,284,14,22,23,29,34,34,28,26,74
S01003294,298,14,40,30,44,36,34,41,19,40
S01003295,479,33,57,51,75,78,56,48,46,35
S01003296,252,13,9,9,18,20,22,48,36,77
S01003297,183,9,23,30,13,14,29,22,9,34
S01003298,468,18,70,57,78,51,51,55,40,48
S01003299,170,1,9,11,18,22,22,25,29,33
S01003300,432,36,53,39,71,64,41,54,37,37
S01003301,304,12,16,26,26,40,44,40,46,54
S01003302,227,7,18,23,21,21,24,29,18,66
S01003303,"1,368",114,324,230,125,74,68,159,53,221
S01003304,359,20,61,61,39,36,21,61,12,48
S01003305,407,25,46,47,78,44,30,53,32,52
S01003306,369,15,35,40,49,43,55,42,34,56
S01003307,404,22,31,39,49,58,54,60,40,51
S01003308,332,10,16,22,37,44,63,41,42,57
S01003309,312,8,11,24,36,36,52,45,36,64
S01003310,293,9,32,24,48,40,45,33,18,44
S01003311,371,33,51,53,57,50,22,38,35,32
S01003312,215,10,11,18,30,24,27,26,34,35
S01003313,413,21,34,40,51,50,48,57,27,85
S01003314,247,6,24,21,31,21,26,27,34,57
S01003315,380,17,70,58,44,35,20,45,20,71
S01003316,278,12,54,44,22,28,21,20,16,61
S01003317,330,13,20,38,44,44,48,47,36,40
S01003318,376,33,44,42,63,50,35,44,41,24
S01003320,294,24,45,41,32,29,21,38,21,43
S01003321,317,20,44,42,56,43,23,30,27,32
S01003322,370,22,42,36,41,36,45,66,18,64
S01003323,391,32,60,56,61,45,27,55,25,30
S01003324,226,11,28,27,33,28,19,32,8,40
S01003325,409,13,50,47,77,42,38,60,29,53
S01003326,293,10,28,31,52,44,32,35,20,41
S01003327,268,19,38,43,26,18,16,39,14,55
S01003328,644,54,184,125,60,35,32,67,12,75
S01003329,367,19,32,42,50,45,47,50,33,49
S01003330,559,50,100,88,82,61,48,73,32,25
S01003331,196,3,21,21,21,23,20,25,26,36
S01003332,134,7,6,8,13,15,19,21,11,34
S01003333,369,18,39,40,43,36,45,36,25,87
S01003334,415,23,38,41,52,41,62,42,33,83
S01003335,372,41,109,62,24,19,20,41,17,39
S01003336,294,7,16,21,38,41,36,36,35,64
S01003337,530,25,40,69,56,57,66,67,52,98
S01003338,460,28,63,48,70,64,41,57,38,51
S01003339,362,17,26,26,71,42,40,52,40,48
S01003340,376,17,30,39,41,41,47,46,44,71
S01003341,538,60,71,72,74,70,48,60,45,38
S01003342,231,8,23,31,27,21,29,30,11,51
S01003343,271,15,9,17,31,24,34,40,24,77
S01003344,208,9,22,29,24,27,17,28,22,30
S01003345,444,24,58,59,75,49,52,43,36,48
S01003346,345,10,24,34,35,48,49,39,28,78
S01003347,267,10,5,11,12,28,35,28,31,107
S01003348,651,60,165,126,84,44,38,47,19,68
S01003349,607,36,42,51,80,68,87,78,44,121
S01003350,366,24,34,40,32,56,46,36,45,53
S01003351,452,19,40,50,53,38,56,59,36,101
S01003352,437,26,29,31,61,56,57,60,49,68
S01003353,238,16,26,20,26,25,29,34,14,48
S01003354,200,5,13,22,24,25,28,16,25,42
S01003355,471,20,57,65,57,52,53,80,25,62
S01003356,329,10,28,39,41,28,53,42,33,55
S01003357,99,6,12,10,4,13,18,12,2,22
S01003358,"1,058",107,332,200,90,35,41,134,11,108
S01003359,594,33,80,72,94,99,45,67,58,46
S01003360,359,26,31,38,41,57,35,32,47,52
S01003361,230,6,17,21,28,26,31,31,25,45
S01003362,258,16,16,21,30,36,42,29,30,38
S01003363,260,9,12,17,29,35,35,33,31,59
S01003364,257,12,26,21,21,21,28,29,31,68
S01003365,279,12,24,45,36,28,28,18,20,68
S01003366,441,43,143,86,40,14,14,50,5,46
S01003367,371,8,33,33,32,53,35,46,25,106
S01003368,785,50,190,139,67,36,41,143,9,110
S01003369,176,5,11,17,22,15,22,22,28,34
S01003370,476,32,135,76,49,26,26,65,16,51
S01003371,392,23,75,63,44,21,28,58,12,68
S01003372,266,16,12,19,19,34,43,33,33,57
S01003373,"1,230",104,339,218,104,53,66,165,24,157
S01003374,137,7,7,6,17,16,22,20,11,31
S01003375,451,34,50,40,66,69,48,41,34,69
S01003376,182,4,8,11,15,19,30,21,28,46
S01003377,256,15,21,27,20,34,42,25,27,45
S01003378,304,11,18,21,26,35,40,39,26,88
S01003379,171,5,8,16,14,13,33,22,14,46
S01003380,754,33,187,158,94,46,34,96,27,79
S01003381,365,15,26,47,51,51,38,36,40,61
S01003382,894,105,264,178,81,37,45,74,30,80
S01003383,343,6,28,35,54,47,52,30,41,50
S01003384,386,14,34,31,62,47,52,38,37,71
S01003385,515,35,159,94,46,30,32,58,14,47
S01003386,275,19,17,17,34,25,59,27,31,46
S01003387,368,18,46,47,53,26,37,58,26,57
S01003388,334,9,29,30,38,31,48,43,25,81
S01003389,448,23,45,52,73,30,43,53,29,100
S01003390,439,15,21,33,33,49,63,75,49,101
S01003391,249,9,27,35,33,22,29,26,19,49
S01003392,474,33,94,84,50,36,39,59,19,60
S01003393,284,8,19,40,38,30,38,26,34,51
S01003394,250,6,11,12,34,31,35,36,21,64
S01003395,382,28,90,76,40,33,26,38,10,41
S01003396,340,17,26,36,36,34,37,43,30,81
S01003397,317,9,10,25,37,35,34,50,32,85
S01003398,326,10,15,22,32,38,41,53,44,71
S01003399,659,52,162,83,61,31,30,124,19,97
S01003400,267,13,18,17,40,32,43,31,28,45
S01003401,218,8,11,7,27,23,37,33,21,51
S01003402,311,12,12,23,25,34,42,54,27,82
S01003403,633,53,162,105,54,48,52,68,24,67
S01003404,161,4,8,8,16,20,21,27,18,39
S01003405,331,13,17,27,35,43,49,34,50,63
S01003406,358,22,58,72,47,22,31,37,16,53
S01003407,338,11,15,37,69,34,41,34,33,64
S01003408,273,12,37,35,19,38,33,31,19,49
S01003409,920,66,281,155,83,71,47,109,20,88
S01003410,769,61,171,134,68,29,48,114,14,130
S01003411,319,18,40,35,30,32,51,32,23,58
S01003412,362,11,31,40,35,53,43,34,24,91
S01003413,320,20,27,23,37,41,45,38,39,50
S01003414,150,8,8,14,10,17,17,17,23,36
S01003415,332,7,26,37,21,38,40,68,11,84
S01003416,259,13,21,27,21,26,30,42,16,63
S01003417,515,33,134,85,56,34,37,49,25,62
S01003418,282,8,21,28,34,24,37,42,22,66
S01003419,265,7,13,20,22,27,37,48,30,61
S01003420,119,3,4,7,10,19,14,13,16,33
S01003421,312,10,18,26,47,30,37,41,36,67
S01003422,314,12,36,26,38,21,44,41,17,79
S01003423,465,37,139,78,37,20,19,58,13,64
S01003424,419,20,46,46,51,29,56,56,33,82
S01003425,414,21,96,78,30,37,23,55,7,67
S01003426,500,37,75,79,76,33,47,41,29,83
S01003427,343,26,26,32,42,29,46,39,29,74
S01003428,276,4,12,14,18,45,33,29,32,89
S01003429,495,33,145,76,38,15,50,49,17,72
S01003430,476,38,111,92,45,18,31,65,9,67
S01003431,235,11,31,42,32,23,24,18,27,27
S01003432,456,33,141,79,33,27,21,44,3,75
S01003433,584,41,151,90,43,39,26,78,14,102
S01003434,264,9,11,17,24,35,35,39,23,71
S01003435,233,8,7,25,20,37,35,28,21,52
S01003436,298,20,41,46,34,37,35,21,24,40
S01003437,456,45,157,86,46,15,9,36,7,55
S01003438,654,32,259,133,59,27,29,55,13,47
S01003439,381,26,85,57,47,21,18,37,19,71
S01003440,186,7,14,19,23,21,25,20,22,35
S01003441,583,27,28,49,63,60,95,57,49,155
S01003442,368,12,18,24,49,35,74,38,16,102
S01003443,289,14,21,24,26,22,46,26,28,82
S01003444,225,3,5,13,24,21,36,34,27,62
S01003445,392,16,24,28,37,31,54,50,25,127
S01003446,201,15,48,26,24,13,15,20,4,36
S01003447,620,20,40,50,38,29,59,160,13,211
S01003448,250,21,22,28,21,33,34,29,22,40
S01003449,390,20,103,70,43,16,13,55,9,61
S01003450,496,29,153,82,35,52,25,38,14,68
S01003451,500,41,154,83,38,39,26,46,15,58
S01003452,326,15,18,32,40,66,30,39,31,55
S01003453,781,111,272,179,46,32,21,52,17,51
S01003454,287,21,63,41,21,23,13,50,10,45
S01003455,225,3,17,6,22,26,34,41,20,56
S01003456,66,5,1,5,4,12,6,12,8,13
S01003457,324,8,28,26,22,17,41,31,20,131
S01003458,437,19,38,34,52,53,60,47,34,100
S01003459,341,22,23,37,34,39,42,44,35,65
S01003460,638,53,238,114,43,30,27,63,11,59
S01003461,301,18,23,25,34,45,39,50,33,34
S01003462,177,3,6,18,26,17,20,30,17,40
S01003463,169,7,19,7,10,21,21,20,13,51
S01003464,463,29,133,73,29,33,13,76,5,72
S01003465,"1,688",184,591,359,127,101,92,113,36,85
S01003466,356,17,80,69,31,27,32,32,10,58
S01003467,272,11,10,21,38,34,39,32,31,56
S01003468,397,25,106,55,32,31,11,67,11,59
S01003469,489,14,109,75,67,40,53,46,25,60
S01003470,583,28,169,94,63,33,52,66,12,66
S01003471,228,7,6,18,28,17,33,45,22,52
S01003472,239,12,24,11,10,26,29,30,13,84
S01003473,409,31,76,62,48,30,18,54,26,64
S01003474,302,15,74,46,24,22,14,41,9,57
S01003475,355,18,71,56,28,25,37,58,8,54
S01003476,638,46,55,80,78,80,61,88,62,88
S01003477,721,49,232,130,86,40,52,62,15,55
S01003478,445,26,145,66,35,29,26,42,14,62
S01003479,443,18,136,95,51,21,35,31,8,48
S01003480,339,15,59,54,41,28,40,41,17,44
S01003481,533,37,187,81,46,32,34,47,8,61
S01003482,171,6,27,18,20,22,16,22,7,33
S01003483,217,4,10,14,27,30,27,32,28,45
S01003484,456,29,130,76,24,13,34,60,7,83
S01003485,483,29,162,87,34,18,30,59,4,60
S01003486,317,13,6,23,30,29,63,51,34,68
S01003487,432,29,94,85,46,31,17,47,8,75
S01003488,217,6,7,20,23,24,32,31,21,53
S01003489,542,19,48,45,49,64,79,55,60,123
S01003490,204,8,41,35,13,23,23,27,14,20
S01003491,23,1,1,1,4,2,4,3,-,7
S01003492,541,39,110,80,44,31,55,75,21,86
S01003493,357,14,64,49,39,47,41,35,22,46
S01003494,336,13,74,70,27,25,33,32,7,55
S01003495,411,30,44,53,47,40,54,36,25,82
S01003496,634,38,208,133,61,27,32,74,11,50
S01003497,533,42,208,108,38,20,19,44,9,45
S01003498,434,40,94,64,51,42,36,46,27,34
S01003499,538,32,165,99,62,34,34,42,19,51
S01003500,168,12,14,17,13,23,14,17,9,49
S01003501,348,33,109,67,32,9,13,30,5,50
S01003502,"1,006",123,209,152,113,93,74,80,72,90
S01003503,425,34,183,71,32,18,19,36,5,27
S01003504,386,24,116,68,27,13,25,52,5,56
S01003506,576,35,234,116,49,25,22,38,13,44
S01003507,266,12,61,39,18,21,21,39,8,47
S01003508,309,17,70,50,37,22,31,26,20,36
S01003509,523,51,225,102,35,24,11,35,6,34
S01003510,211,10,19,20,32,43,25,21,15,26
S01003511,629,67,301,93,35,24,20,34,6,49
S01003512,196,8,8,12,27,19,27,20,30,45
S01003513,297,17,106,54,16,6,14,36,3,45
S01003514,424,40,130,70,26,15,24,53,4,62
S01003515,193,4,11,17,24,18,32,22,21,44
S01003516,385,33,49,44,51,45,39,43,44,37
S01003517,412,22,143,67,44,24,23,37,15,37
S01003518,458,26,70,66,41,39,67,59,19,71
S01003519,214,7,38,35,27,16,18,32,8,33
S01003520,366,42,154,65,28,12,12,29,7,17
S01003521,222,20,73,29,14,9,5,34,2,36
S01003522,495,59,199,89,29,18,21,32,9,39
S01003523,271,10,14,24,35,34,39,31,28,56
S01003524,657,59,323,121,51,24,24,37,3,15
S01003525,648,54,272,115,56,37,29,47,9,29
S01003526,565,58,220,125,53,18,10,32,7,42
S01003527,425,45,191,57,43,19,17,31,6,16
S01003528,264,16,18,24,35,42,30,28,31,40
S01003529,287,16,27,39,45,34,25,42,25,34
S01003530,508,30,211,105,46,21,21,35,8,31
S01003531,329,23,50,21,51,33,32,39,21,59
S01003532,509,55,186,82,47,33,25,34,12,35
S01003533,31,3,3,3,-,4,4,1,2,11
S01003534,471,28,46,71,79,49,47,43,35,73
S01003535,345,17,77,50,46,28,38,36,16,37
S01003536,627,79,308,90,40,15,16,46,4,29
S01003537,384,13,89,71,36,36,30,30,11,68
S01003538,222,7,11,11,25,36,41,23,19,49
S01003539,559,64,278,93,44,15,17,19,10,19
S01003540,163,11,9,11,13,21,23,16,14,45
S01003541,146,8,10,7,11,20,17,24,12,37
S01003542,447,65,184,91,32,12,14,20,9,20
S01003543,267,9,13,28,25,42,30,45,15,60
S01003544,315,23,132,56,24,17,13,21,6,23
S01003545,485,57,247,86,29,14,17,16,5,14
S01003546,352,20,26,26,37,41,46,53,34,69
S01003547,473,25,166,88,39,26,31,42,12,44
S01003549,253,5,16,16,18,25,49,28,17,79
S01003550,343,20,37,40,50,41,31,45,35,44
S01003551,287,9,29,35,30,23,47,27,27,60
S01003552,735,76,377,124,46,14,20,37,8,33
S01003553,210,10,18,13,17,25,37,27,24,39
S01003554,429,25,192,78,32,16,11,34,8,33
S01003555,433,43,192,85,32,17,11,21,8,24
S01003556,358,42,146,61,30,16,15,16,9,23
S01003557,201,10,13,16,17,21,33,23,13,55
S01003558,577,68,300,103,35,21,14,16,3,17
S01003559,526,42,226,92,43,26,37,27,9,24
S01003560,682,81,292,98,63,21,39,36,17,35
S01003561,438,12,62,69,50,28,60,53,26,78
S01003562,235,11,25,31,22,32,29,20,19,46
S01003563,181,4,10,14,15,25,28,27,17,41
S01003564,215,7,14,16,27,20,23,25,15,68
S01003565,262,9,23,19,40,27,34,28,20,62
S01003566,455,26,164,101,42,17,20,29,5,51
S01003567,318,11,25,28,26,28,51,41,24,84
S01003568,388,57,166,66,36,10,9,23,6,15
S01003569,314,31,114,49,32,15,12,21,15,25
S01003570,340,27,118,69,38,23,17,20,9,19
S01003571,391,21,44,34,59,52,52,45,16,68
S01003572,342,8,22,24,38,40,49,47,26,88
S01003573,353,12,15,32,50,45,52,39,46,62
S01003574,646,34,281,127,56,32,22,38,9,47
S01003575,327,17,23,28,36,38,35,39,34,77
S01003576,490,60,217,81,41,10,19,23,5,34
S01003577,393,16,18,29,53,62,64,44,45,62
S01003578,79,2,6,6,10,8,10,11,5,21
S01003579,257,8,11,13,25,29,49,34,30,58
S01003580,452,17,50,55,52,43,59,54,42,80
S01003581,838,60,164,114,91,40,68,120,29,152
S01003582,196,6,14,14,11,15,31,18,16,71
S01003583,188,7,6,15,18,19,40,25,17,41
S01003584,206,6,17,4,13,36,25,24,22,59
S01003585,317,20,93,48,36,22,23,32,7,36
S01003586,314,16,50,30,32,38,35,28,26,59
S01003587,509,63,236,81,47,26,15,19,8,14
S01003588,388,19,39,50,65,58,43,33,35,46
S01003589,625,72,246,92,33,21,42,56,11,52
S01003590,392,21,43,53,53,44,46,48,12,72
S01003591,631,82,248,96,66,32,22,42,20,23
S01003592,622,34,112,71,65,51,96,57,32,104
S01003593,277,7,33,29,46,36,31,27,27,41
S01003594,556,81,227,94,45,26,22,34,13,14
S01003595,244,12,14,23,22,22,40,29,21,61
S01003596,261,5,29,22,27,18,29,34,32,65
S01003597,302,47,134,42,24,13,11,15,7,9
S01003598,259,7,16,22,34,37,35,35,27,46
S01003599,407,21,38,43,37,69,58,45,41,55
S01003600,282,9,22,19,26,31,49,41,19,66
S01003601,279,11,26,34,35,29,24,35,23,62
S01003602,243,8,14,25,36,30,30,28,15,57
S01003603,281,15,46,31,24,32,41,31,21,40
S01003604,386,14,102,56,40,34,28,41,9,62
S01003605,234,7,32,24,27,35,31,14,13,51
S01003606,349,16,50,45,40,41,37,43,29,48
S01003607,208,6,11,20,32,29,23,26,27,34
S01003608,222,12,23,18,27,18,45,23,21,35
S01003609,512,59,205,81,52,20,33,27,9,26
S01003610,484,21,60,61,65,64,69,35,31,78
S01003611,247,7,12,12,28,30,51,38,20,49
S01003612,356,35,117,61,44,22,18,32,10,17
S01003613,850,111,182,133,109,77,53,80,51,54
S01003614,233,31,78,29,27,17,14,15,7,15
S01003615,327,15,52,33,31,38,49,35,24,50
S01003616,480,47,78,70,69,60,34,59,36,27
S01003617,240,8,21,16,26,17,37,33,12,70
S01003618,350,22,72,51,32,31,39,30,28,45
S01003619,238,16,19,10,26,21,20,30,19,77
S01003620,578,50,226,97,42,39,29,32,21,42
S01003621,283,11,11,29,31,36,41,35,31,58
S01003622,328,15,44,41,52,43,43,30,20,40
S01003623,461,54,158,67,52,32,19,29,16,34
S01003624,625,30,62,65,71,70,86,54,57,130
S01003625,154,5,32,20,15,16,16,12,10,28
S01003626,406,27,65,62,51,48,38,40,42,33
S01003627,215,7,16,21,14,19,39,27,13,59
S01003628,251,7,16,21,33,32,38,25,26,53
S01003629,256,10,5,14,31,25,40,32,27,72
S01003630,252,17,25,22,41,28,50,22,9,38
S01003631,621,59,191,89,75,53,40,44,35,35
S01003632,492,44,161,71,57,24,30,54,12,39
S01003633,735,50,117,127,102,75,94,54,34,82
S01003634,341,17,21,27,28,36,54,48,29,81
S01003635,273,23,80,46,29,16,25,26,12,16
S01003636,313,17,13,27,35,44,56,25,31,65
S01003637,458,37,120,74,65,42,33,34,14,39
S01003638,415,30,150,72,38,26,27,33,11,28
S01003639,293,14,35,37,34,36,38,30,24,45
S01003640,388,19,20,34,46,46,66,47,35,75
S01003641,395,30,72,68,53,45,40,26,31,30
S01003642,328,18,40,30,55,41,45,27,32,40
S01003643,369,18,50,49,55,45,34,37,33,48
S01003644,357,19,51,38,31,55,40,38,30,55
S01003645,197,10,37,23,25,21,23,22,16,20
S01003646,187,4,11,11,11,26,20,20,15,69
S01003647,339,10,45,47,60,43,39,34,21,40
S01003648,432,23,131,67,36,40,33,39,15,48
S01003649,440,26,41,49,64,49,54,51,48,58
S01003650,319,16,33,38,38,39,38,28,25,64
S01003651,245,15,44,28,29,25,28,23,14,39
S01003652,289,14,35,34,28,25,34,50,13,56
S01003653,236,11,11,20,31,28,26,43,25,41
S01003654,341,10,33,41,43,45,57,26,34,52
S01003655,264,8,12,18,31,36,34,33,26,66
S01003656,405,25,46,50,49,50,65,36,22,62
S01003657,264,10,14,21,34,37,40,28,20,60
S01003658,400,39,52,53,60,40,48,46,25,37
S01003659,407,36,94,67,57,25,40,36,20,32
S01003660,582,39,107,86,88,72,52,48,43,47
S01003661,572,35,157,109,67,47,45,54,24,34
S01003662,243,16,37,28,37,21,37,20,14,33
S01003663,217,12,18,25,30,20,30,30,22,30
S01003664,192,8,17,20,22,16,27,21,19,42
S01003665,181,6,13,12,8,34,31,19,8,50
S01003666,203,6,11,15,19,32,27,28,24,41
S01003667,403,29,49,44,44,63,51,47,34,42
S01003668,332,28,53,42,46,42,39,31,17,34
S01003669,412,14,33,50,51,62,56,38,47,61
S01003670,312,18,13,32,32,31,63,31,26,66
S01003671,256,20,45,24,27,27,24,32,14,43
S01003672,223,3,14,19,18,27,44,25,20,53
S01003673,71,1,8,6,13,6,10,10,6,11
S01003674,318,16,39,42,36,43,46,31,25,40
S01003675,531,55,162,105,62,30,40,31,13,33
S01003676,757,68,251,155,73,42,46,53,31,38
S01003677,226,6,12,23,24,22,38,29,20,52
S01003678,262,11,22,32,30,29,50,28,22,38
S01003679,349,19,30,31,47,41,59,33,35,54
S01003680,246,6,10,11,34,24,54,36,32,39
S01003681,228,13,29,31,39,31,32,13,20,20
S01003682,559,42,113,75,75,60,56,47,34,57
S01003683,234,19,39,42,31,25,23,17,17,21
S01003684,323,22,46,38,37,32,32,36,33,47
S01003685,240,24,21,19,26,29,38,26,23,34
S01003686,422,18,27,42,56,42,72,45,28,92
S01003687,188,7,10,9,23,12,30,37,13,47
S01003688,361,11,24,40,42,43,63,45,40,53
S01003689,205,7,9,18,20,27,29,35,18,42
S01003690,302,8,22,31,50,32,45,33,28,53
S01003691,524,36,45,59,63,82,64,62,49,64
S01003692,416,13,56,48,54,52,63,34,42,54
S01003693,246,9,31,31,33,36,35,24,14,33
S01003694,432,37,66,54,61,53,56,33,36,36
S01003695,399,32,39,38,38,49,51,56,24,72
S01003696,440,31,71,66,49,48,57,33,30,55
S01003697,495,41,77,73,77,72,46,38,35,36
S01003698,436,21,45,47,68,53,66,30,37,69
S01003699,564,38,57,74,109,74,52,55,48,57
S01003700,430,18,40,46,53,54,57,69,29,64
S01003701,416,19,41,47,50,37,59,64,33,66
S01003702,281,8,14,27,31,36,43,37,21,64
S01003703,381,18,19,44,52,51,56,53,27,61
S01003704,240,9,9,14,35,22,39,31,22,59
S01003705,273,9,13,19,25,30,58,34,23,62
S01003706,224,11,21,13,30,23,30,37,16,43
S01003707,336,20,24,31,38,34,48,41,23,77
S01003708,264,4,12,14,27,24,44,36,26,77
S01003709,174,5,4,8,13,23,25,37,20,39
S01003710,485,46,75,53,48,48,52,47,42,74
S01003711,300,10,12,17,29,34,58,30,26,84
S01003712,367,16,23,31,47,45,54,37,44,70
S01003713,169,4,7,11,22,25,30,14,19,37
S01003714,268,11,26,18,39,38,38,19,33,46
S01003715,394,15,22,38,54,51,53,42,46,73
S01003716,137,10,6,6,10,14,22,15,13,41
S01003717,274,8,14,12,33,25,43,39,27,73
S01003718,281,12,9,29,38,31,38,44,30,50
S01003719,309,60,36,29,23,54,25,12,24,46
S01003720,495,57,65,43,33,75,58,24,61,79
S01003721,413,57,63,34,40,74,46,22,34,43
S01003722,414,38,38,34,41,68,52,30,43,70
S01003723,288,58,51,25,21,51,24,14,20,24
S01003724,401,42,29,43,31,62,57,35,49,53
S01003725,329,90,39,34,27,47,19,16,11,46
