,All people aged 3 and over,Proficiency in spoken English: Speaks well or very well,Proficiency in spoken English: Does not speak well,Proficiency in spoken English: Does not speak at all,Gaelic: Can speak Gaelic,Scots: Can speak Scots,Language other than English used at home: English only,Language other than English used at home: Gaelic,Language other than English used at home: Scots,Language other than English used at home: British Sign Language,Language other than English used at home: Polish,Language other than English used at home: Other
S01001462,816,814,2,-,14,112,751,9,2,-,-,54
S01001463,505,504,1,-,5,95,494,2,-,1,-,8
S01001464,850,842,8,-,13,170,813,6,4,1,-,26
S01001465,673,671,2,-,7,99,616,6,5,-,-,46
S01001466,703,695,5,3,9,83,626,7,-,1,-,69
S01001467,792,791,-,1,3,130,776,-,1,2,-,13
S01001468,652,644,8,-,6,99,600,3,4,3,-,42
S01001469,840,825,13,2,7,132,760,6,1,-,-,73
S01001470,911,909,2,-,10,88,857,4,3,-,2,45
S01001471,731,729,2,-,2,99,697,-,5,-,2,27
S01001472,782,780,2,-,5,177,740,4,5,1,-,32
S01001473,764,760,2,2,12,87,720,4,3,-,3,34
S01001474,853,841,11,1,3,246,827,-,1,7,-,18
S01001475,593,592,1,-,6,80,562,5,1,1,2,22
S01001476,964,959,5,-,9,115,867,8,4,3,-,82
S01001477,916,909,6,1,4,184,865,-,4,-,-,47
S01001478,649,648,1,-,3,110,639,-,2,-,-,8
S01001479,611,609,2,-,2,124,584,1,1,-,-,25
S01001480,474,474,-,-,8,99,457,2,2,-,-,13
S01001481,853,840,11,2,8,151,764,4,-,-,1,84
S01001482,680,674,6,-,11,150,621,5,6,-,-,48
S01001483,"1,006","1,002",4,-,9,109,955,6,8,-,-,37
S01001484,803,799,3,1,11,124,768,5,1,-,-,29
S01001485,602,601,1,-,3,143,595,2,3,-,-,2
S01001486,735,732,3,-,8,98,677,1,-,-,-,57
S01001487,646,644,2,-,2,204,629,-,3,-,-,14
S01001488,848,844,2,2,15,152,806,4,3,4,3,28
S01001489,775,767,8,-,1,98,712,-,-,-,1,62
S01001490,927,912,13,2,12,259,892,6,6,-,3,20
S01001491,856,853,3,-,8,118,810,4,1,-,-,41
S01001492,884,875,8,1,7,251,875,2,-,1,-,6
S01001493,861,855,5,1,3,232,849,-,2,-,-,10
S01001494,865,856,7,2,6,226,834,1,8,1,4,17
S01001495,608,605,1,2,4,74,548,-,2,-,-,58
S01001496,918,912,6,-,13,148,843,7,2,-,-,66
S01001497,740,736,4,-,2,224,724,-,2,4,-,10
S01001498,658,650,8,-,10,103,610,6,-,-,-,42
S01001499,"1,062","1,057",2,3,12,232,"1,028",6,4,-,1,23
S01001500,552,545,7,-,1,154,541,-,4,-,-,7
S01001501,834,830,4,-,15,131,790,5,7,-,-,32
S01001502,829,823,6,-,12,207,798,2,8,2,-,19
S01001503,783,780,1,2,1,241,765,2,2,3,-,11
S01001504,858,855,3,-,3,226,844,-,4,-,-,10
S01001505,"1,009","1,006",1,2,7,217,968,2,7,2,4,26
S01001506,583,582,1,-,1,189,565,-,2,-,1,15
S01001507,870,862,5,3,5,129,763,1,-,-,-,106
S01001508,884,879,5,-,7,141,823,1,2,-,-,58
S01001509,791,785,4,2,5,261,765,3,3,7,-,13
S01001510,606,596,9,1,4,160,574,4,2,-,2,24
S01001511,563,559,4,-,4,87,549,2,2,1,-,9
S01001512,810,793,16,1,2,279,776,-,13,9,3,9
S01001513,841,824,17,-,7,269,810,4,7,3,3,14
S01001514,724,723,1,-,6,168,716,-,4,-,-,4
S01001515,676,676,-,-,15,105,657,4,3,-,-,12
S01001516,679,678,1,-,5,219,668,3,3,-,-,5
S01001517,826,817,6,3,4,157,790,4,7,11,1,13
S01001518,986,978,6,2,5,263,945,2,5,3,1,30
S01001519,940,935,5,-,9,137,911,3,2,5,-,19
S01001520,682,679,3,-,-,165,667,-,3,1,2,9
S01001521,961,949,12,-,14,170,883,5,2,-,-,71
S01001522,"1,019","1,012",7,-,4,289,"1,004",-,1,1,2,11
S01001523,764,757,6,1,-,99,694,-,2,1,-,67
S01001524,896,884,12,-,6,262,877,-,2,3,-,14
S01001525,766,764,2,-,10,229,740,2,11,3,-,10
S01001526,610,606,3,1,5,102,581,2,6,-,-,21
S01001527,866,861,5,-,14,229,814,2,10,-,-,40
S01001528,951,945,5,1,7,194,924,-,-,1,-,26
S01001529,690,689,1,-,4,118,650,1,-,-,3,36
S01001530,724,720,4,-,2,197,704,-,1,5,-,14
S01001531,"1,122","1,111",11,-,4,301,"1,071",-,5,1,8,37
S01001532,584,583,1,-,1,55,549,-,-,1,-,34
S01001533,927,927,-,-,10,128,899,7,1,1,3,16
S01001534,652,649,3,-,7,104,629,3,4,1,-,15
S01001535,837,835,1,1,3,190,816,1,2,-,-,18
S01001536,783,779,3,1,3,230,762,2,6,1,1,11
S01001537,478,477,-,1,2,164,472,1,4,-,-,1
S01001538,789,786,3,-,6,134,767,4,-,-,-,18
S01001539,870,851,19,-,8,189,848,1,8,2,-,11
S01001540,792,785,6,1,3,128,736,-,2,4,1,49
S01001541,807,805,2,-,9,200,795,3,6,1,-,2
S01001542,656,652,4,-,1,145,635,-,6,-,-,15
S01001543,722,718,3,1,3,145,705,2,1,1,1,12
S01001544,891,885,5,1,7,277,869,-,10,1,6,5
S01001545,698,693,5,-,3,186,678,-,-,1,7,12
S01001546,937,933,4,-,2,318,891,-,19,3,-,24
S01001547,963,956,5,2,7,264,942,5,2,2,6,6
S01001548,988,978,7,3,16,223,946,10,1,1,12,18
S01001549,958,956,1,1,10,314,928,3,9,-,3,15
S01001550,758,753,5,-,2,224,739,-,5,-,-,14
S01001551,900,891,9,-,5,286,861,-,7,-,2,30
S01001552,835,828,5,2,1,240,815,-,5,-,-,15
S01001553,877,870,7,-,5,210,845,-,-,-,6,26
S01001554,958,956,2,-,5,293,924,-,8,-,-,26
S01001555,728,720,7,1,2,290,699,-,8,1,-,20
S01001556,816,804,11,1,4,304,789,3,4,1,-,19
S01001557,959,954,5,-,-,214,936,-,3,2,1,17
S01001558,805,799,3,3,1,296,787,-,9,-,3,6
S01001559,382,377,4,1,-,151,371,-,8,-,-,3
S01001560,"1,433","1,421",12,-,7,313,"1,187",1,10,1,9,225
S01001561,"1,276","1,261",12,3,6,380,"1,204",-,6,2,11,53
S01001562,"2,432","2,411",18,3,7,778,"2,335",2,11,4,21,59
S01001563,580,577,3,-,-,133,566,-,3,-,-,11
S01001564,540,540,-,-,-,162,529,-,5,-,2,4
S01001565,706,697,9,-,2,200,673,1,4,1,9,18
S01001566,650,641,4,5,-,216,621,-,2,3,5,19
S01001567,872,868,4,-,1,289,846,-,6,-,4,16
S01001568,708,704,4,-,3,165,671,1,4,3,4,25
S01001569,763,753,8,2,-,200,715,-,1,-,7,40
S01001570,494,487,4,3,3,95,467,1,3,-,-,23
S01001571,700,694,6,-,4,257,672,1,7,3,3,14
S01001572,516,515,1,-,5,164,502,3,5,-,5,1
S01001573,643,637,3,3,6,151,623,2,3,-,7,8
S01001574,845,841,2,2,2,316,809,-,-,6,10,20
S01001575,715,707,5,3,8,223,683,2,3,3,11,13
S01001576,578,570,5,3,2,209,561,2,6,1,5,3
S01001577,691,689,2,-,-,252,681,-,4,1,1,4
S01001578,732,724,8,-,5,286,713,1,4,-,2,12
S01001579,815,806,7,2,3,254,770,1,3,4,17,20
S01001580,554,549,5,-,2,162,525,-,8,1,3,17
S01001581,620,616,4,-,2,151,593,-,4,-,13,10
S01001582,681,672,8,1,1,260,654,-,12,2,6,7
S01001583,466,461,5,-,1,155,446,-,4,4,2,10
S01001584,751,742,7,2,3,226,718,1,11,1,4,16
S01001585,880,861,17,2,6,286,817,-,6,1,18,38
S01001586,463,462,1,-,4,115,441,1,2,-,-,19
S01001587,732,724,8,-,1,257,718,-,5,1,4,4
S01001588,758,750,7,1,3,302,703,1,13,4,4,33
S01001589,793,788,5,-,-,299,779,-,3,1,3,7
S01001590,612,608,4,-,5,180,572,-,2,-,11,27
S01001591,616,607,8,1,-,240,603,-,4,1,8,-
S01001592,746,735,8,3,3,280,697,-,7,1,16,25
S01001593,769,752,13,4,1,193,693,-,7,1,15,53
S01001594,777,765,11,1,4,226,728,2,9,-,11,27
S01001595,682,673,9,-,1,257,637,-,10,1,15,19
S01001596,803,796,6,1,2,233,759,-,5,-,14,25
S01001597,826,815,9,2,7,187,710,1,5,-,17,93
S01001598,659,657,2,-,3,175,640,1,6,-,-,12
S01001599,893,884,8,1,8,242,835,-,11,3,16,28
S01001600,984,962,17,5,5,297,905,-,6,-,28,45
S01001601,"1,175","1,165",10,-,6,330,"1,118",-,16,4,6,31
S01001602,620,619,1,-,-,195,583,-,-,5,1,31
S01001603,972,950,19,3,2,330,929,-,8,5,7,23
S01001604,609,598,10,1,4,252,584,1,4,1,4,15
S01001605,728,724,3,1,2,260,712,1,6,2,1,6
S01001606,586,584,1,1,-,212,547,-,11,1,8,19
S01001607,"2,486","2,455",27,4,6,779,"2,325",-,29,10,37,85
S01001608,796,793,3,-,4,224,762,-,5,3,12,14
S01001609,872,859,12,1,2,315,833,-,9,3,4,23
S01001610,745,729,14,2,7,207,677,-,7,2,2,57
S01001611,995,985,10,-,4,233,950,-,9,-,7,29
S01001612,821,816,5,-,-,237,789,-,7,-,-,25
S01001613,739,731,8,-,1,263,706,-,12,-,11,10
S01001614,643,631,10,2,4,181,613,3,7,1,1,18
S01001615,754,743,8,3,2,258,723,-,8,3,7,13
S01001616,720,718,2,-,5,150,703,1,-,-,1,15
S01001617,605,603,2,-,3,238,591,-,-,-,2,12
S01001618,911,903,7,1,4,263,883,-,4,4,3,17
S01001619,676,673,3,-,2,248,663,-,4,-,5,4
S01001620,860,855,5,-,8,369,831,3,13,-,2,11
S01001621,663,660,3,-,3,210,635,-,7,1,2,18
S01001622,798,782,16,-,1,290,731,-,14,3,9,41
S01001623,748,745,2,1,3,271,719,-,7,-,3,19
S01001624,977,960,12,5,4,292,935,-,6,2,6,28
S01001625,768,759,8,1,6,317,744,1,6,4,7,6
S01001626,707,699,6,2,2,222,672,-,5,2,4,24
S01001627,"1,315","1,300",10,5,5,458,"1,256",-,10,7,17,25
S01001628,585,580,5,-,-,273,568,-,7,1,-,9
S01001629,553,552,1,-,2,151,537,1,1,4,1,9
S01001630,529,526,3,-,1,183,504,-,3,-,8,14
S01001631,"1,342","1,329",7,6,9,437,"1,280",2,16,-,4,40
S01001632,560,556,4,-,1,148,543,-,2,-,2,13
S01001633,868,866,2,-,4,227,856,-,2,-,2,8
S01001634,996,994,2,-,4,270,981,-,3,-,3,9
S01001635,720,710,8,2,1,244,669,-,13,-,9,29
S01001636,506,502,4,-,2,141,489,-,1,-,2,14
S01001637,683,678,5,-,3,187,649,-,9,1,7,17
S01001638,857,849,8,-,5,280,829,-,6,1,1,20
S01001639,691,682,9,-,1,243,676,-,6,1,-,8
S01001640,637,636,1,-,6,146,632,-,1,-,-,4
S01001641,"1,488","1,477",11,-,4,466,"1,433",-,10,9,7,29
S01001642,885,881,3,1,7,284,853,-,12,6,1,13
S01001643,711,708,2,1,1,265,686,-,16,2,3,4
S01001644,"1,686","1,676",7,3,5,474,"1,643",2,4,2,7,28
S01001645,949,930,16,3,2,264,886,-,4,5,18,36
S01001646,588,586,2,-,2,157,575,1,5,-,-,7
S01001647,638,634,2,2,2,201,631,-,-,-,-,7
S01001648,729,719,9,1,1,256,714,-,4,1,4,6
S01001649,728,716,12,-,-,254,691,-,6,2,17,12
S01001650,826,825,1,-,7,241,799,2,2,4,2,17
S01001651,872,856,12,4,4,205,811,-,7,2,11,41
S01001652,753,749,4,-,6,177,718,-,9,-,3,23
S01001653,592,585,5,2,8,222,569,3,2,3,8,7
S01001654,897,886,9,2,5,201,857,1,3,2,-,34
S01001655,571,568,3,-,1,132,556,-,2,-,-,13
S01001656,"1,291","1,283",6,2,10,349,"1,250",-,8,2,6,25
S01001657,494,491,3,-,3,107,476,-,3,2,3,10
S01001658,976,974,2,-,6,212,916,-,11,3,2,44
S01001659,689,683,5,1,3,134,669,2,-,-,5,13
S01001660,660,660,-,-,1,142,646,-,1,-,-,13
S01001661,797,787,10,-,4,199,769,-,5,1,9,13
S01001662,713,704,7,2,4,224,682,3,8,1,5,14
S01001663,829,822,6,1,3,190,805,-,3,3,3,15
S01001664,540,536,4,-,1,123,528,-,2,1,5,4
S01001665,855,848,7,-,5,133,841,-,3,-,-,11
S01001666,544,537,4,3,8,134,524,-,1,1,10,8
S01001667,800,792,7,1,6,129,771,3,-,-,-,26
S01001668,859,850,8,1,4,126,818,-,3,-,4,34
S01001669,652,643,6,3,6,161,598,-,9,1,16,28
S01001670,612,611,1,-,5,107,605,-,1,2,-,4
S01001671,508,505,3,-,4,126,498,1,2,-,2,5
S01001672,565,562,3,-,6,122,552,-,-,2,3,8
S01001673,631,629,2,-,4,107,623,-,2,1,-,5
S01001674,671,667,4,-,6,138,653,1,7,1,-,9
S01001675,682,679,1,2,5,134,669,2,2,1,4,4
S01001676,"1,196","1,183",12,1,2,185,"1,079",-,-,-,-,117
S01001677,824,823,1,-,4,133,785,1,3,-,5,30
S01001678,812,809,3,-,9,214,791,3,2,1,2,13
S01001679,913,904,8,1,5,103,843,1,-,-,-,69
S01001680,577,573,3,1,3,71,558,-,1,-,-,18
S01001681,655,647,7,1,5,85,599,-,3,-,-,53
S01001682,581,580,1,-,3,150,573,-,6,-,-,2
S01001683,720,716,4,-,3,103,686,1,1,-,-,32
S01001684,499,498,1,-,1,87,491,1,2,-,-,5
S01001685,729,714,14,1,9,164,648,6,8,1,9,57
S01001686,885,881,4,-,3,138,839,-,4,1,1,40
S01001687,964,960,4,-,7,122,913,-,-,-,1,50
S01001688,921,916,4,1,9,122,818,4,-,-,-,99
S01001689,663,662,1,-,2,83,632,-,2,-,-,29
S01001690,844,837,7,-,4,129,768,1,2,1,3,69
S01001691,831,828,3,-,5,88,786,-,2,-,-,43
S01001692,642,632,7,3,8,129,563,-,2,4,3,70
S01001693,870,850,18,2,4,107,725,3,2,-,8,132
S01001694,635,630,4,1,7,136,604,-,4,1,-,26
S01001695,749,738,9,2,4,110,679,1,1,-,-,68
S01001696,716,713,3,-,8,104,676,3,4,2,-,31
S01001697,826,814,10,2,7,133,743,1,-,1,-,81
S01001698,507,503,4,-,2,99,500,-,-,-,-,7
S01001699,675,671,3,1,1,91,597,-,7,-,-,71
S01001700,991,988,3,-,1,93,930,1,-,-,-,60
S01001701,910,900,9,1,5,147,849,-,-,8,-,53
S01001702,971,962,7,2,9,99,904,3,-,-,-,64
S01001703,793,788,5,-,5,156,675,2,1,2,-,113
S01001704,895,889,5,1,3,91,831,-,2,-,2,60
S01001705,592,591,-,1,3,94,543,-,-,-,-,49
S01001706,762,759,3,-,2,97,747,-,1,-,-,14
S01001707,714,708,6,-,7,170,661,4,-,-,7,42
S01001708,933,922,9,2,8,131,799,4,-,-,-,130
S01001709,583,580,3,-,3,110,499,-,3,2,-,79
S01001710,672,670,2,-,-,108,627,-,5,2,3,35
S01001711,766,763,2,1,2,145,717,1,-,-,-,48
S01001712,449,444,4,1,4,100,435,2,1,1,-,10
S01001713,847,841,4,2,6,138,708,1,-,1,-,137
S01001714,686,681,2,3,4,91,662,2,2,-,-,20
S01001715,846,833,12,1,2,127,744,4,-,1,-,97
S01001716,829,821,7,1,5,273,812,3,2,1,-,11
S01001717,777,771,5,1,7,120,745,3,1,3,-,25
S01001718,514,513,1,-,3,76,508,2,-,-,-,4
S01001719,773,767,5,1,2,93,740,-,2,-,-,31
S01001720,664,657,6,1,8,119,587,1,8,-,-,68
S01001721,707,696,8,3,5,82,622,-,1,2,4,78
S01001722,712,707,4,1,10,85,674,-,-,-,-,38
S01001723,850,843,7,-,7,72,771,6,-,1,3,69
S01001724,786,774,9,3,5,234,759,-,7,3,-,17
S01001725,745,742,3,-,4,179,737,-,1,-,-,7
S01001726,625,622,3,-,4,77,602,3,-,1,-,19
S01001727,988,981,6,1,4,137,940,3,2,-,-,43
S01001728,602,601,1,-,7,86,582,5,3,-,-,12
S01001729,945,939,4,2,5,158,918,1,-,2,-,24
S01001730,626,622,3,1,7,104,602,1,2,-,-,21
S01001731,653,650,2,1,8,78,631,3,-,-,-,19
S01001732,559,553,5,1,6,133,525,2,2,-,4,26
S01001733,872,861,11,-,2,210,860,-,3,-,1,8
S01001734,516,513,2,1,2,69,499,-,1,-,-,16
S01001735,457,454,3,-,4,78,437,-,3,-,-,17
S01001736,"1,080","1,069",7,4,5,115,"1,022",1,2,-,-,55
S01001737,581,578,2,1,2,99,554,2,-,-,2,23
S01001738,589,587,1,1,4,79,570,2,-,1,-,16
S01001739,612,608,4,-,1,123,580,-,1,4,-,27
S01001740,732,726,4,2,6,214,708,1,4,2,-,17
S01001741,623,619,4,-,6,202,609,-,-,1,4,9
S01001742,708,700,7,1,1,183,650,-,2,2,15,39
S01001743,932,925,6,1,2,328,878,-,4,-,13,37
S01001744,534,532,2,-,1,125,516,1,1,1,-,15
S01001745,770,767,2,1,2,155,743,-,1,-,-,26
S01001746,940,929,11,-,10,107,897,7,4,2,-,30
S01001747,833,829,3,1,1,256,803,-,9,-,8,13
S01001748,599,597,-,2,5,82,585,2,2,5,-,5
S01001749,722,718,4,-,3,238,703,-,2,1,6,10
S01001750,622,616,6,-,6,166,599,3,7,-,4,9
S01001751,921,912,8,1,3,265,891,-,3,2,6,19
S01001752,909,901,6,2,9,142,853,3,2,2,-,49
S01001753,775,772,2,1,2,239,748,1,-,4,3,19
S01001754,750,745,5,-,4,81,701,4,3,12,-,30
S01001755,"1,037","1,020",14,3,2,146,940,-,1,6,1,89
S01001756,637,628,9,-,3,68,622,2,-,-,-,13
S01001757,741,734,7,-,3,159,724,-,-,-,-,17
S01001758,763,758,4,1,9,148,706,10,10,1,1,35
S01001759,646,641,4,1,6,200,626,6,-,-,6,8
S01001760,764,754,7,3,3,194,743,-,9,1,2,9
S01001761,704,700,3,1,3,236,677,1,7,2,2,15
S01001762,946,937,4,5,12,108,855,7,4,1,-,79
S01001763,798,791,7,-,4,92,751,2,-,1,-,44
S01001764,515,511,2,2,1,73,441,-,-,2,-,72
S01001765,936,929,6,1,4,247,918,-,3,5,2,8
S01001766,622,620,1,1,5,91,560,4,-,-,-,58
S01001767,569,565,4,-,2,71,537,-,-,-,-,32
S01001768,586,581,4,1,3,111,553,-,-,-,1,32
S01001769,619,616,2,1,7,95,574,4,-,-,-,41
S01001770,540,533,6,1,1,200,517,-,-,1,12,10
S01001771,819,807,11,1,7,140,688,1,4,1,6,119
S01001772,510,506,4,-,-,84,471,-,1,-,-,38
S01001773,913,898,12,3,7,230,819,3,-,1,6,84
S01001774,646,639,5,2,3,112,576,2,4,-,1,63
S01001775,817,810,5,2,9,103,783,6,2,-,-,26
S01001776,611,606,4,1,7,154,582,3,1,1,3,21
S01001777,879,862,14,3,3,83,856,-,2,4,-,17
S01001778,849,827,18,4,5,310,806,3,12,3,7,18
S01001779,533,521,10,2,4,66,471,-,3,-,3,56
S01001780,829,825,3,1,8,165,770,6,3,3,-,47
S01001781,661,649,9,3,3,63,552,-,-,1,-,108
S01001782,932,923,5,4,13,147,807,8,-,-,-,117
S01001783,567,548,13,6,6,199,506,1,12,7,18,23
S01001784,577,563,12,2,5,111,468,2,6,1,-,100
S01001785,601,599,2,-,4,136,592,-,1,-,-,8
S01001786,622,619,3,-,-,123,618,-,-,-,1,3
S01001787,556,548,4,4,6,127,527,3,2,1,8,15
S01001788,772,767,5,-,-,118,763,-,5,-,-,4
S01001789,701,693,5,3,4,192,665,1,2,2,2,29
S01001790,665,663,2,-,5,139,626,1,4,2,5,27
S01001791,708,704,3,1,4,148,672,1,8,-,5,22
S01001792,655,651,2,2,1,146,622,-,4,-,-,29
S01001793,876,873,3,-,6,203,836,-,4,-,5,31
S01001794,921,913,7,1,3,192,874,-,4,1,4,38
S01001795,432,428,3,1,1,82,402,-,-,-,-,30
S01001796,811,807,4,-,3,159,779,-,5,1,-,26
S01001797,652,649,3,-,4,172,624,-,5,2,-,21
S01001798,791,787,2,2,1,115,744,1,2,-,-,44
S01001799,"1,036","1,002",28,6,3,322,896,-,2,7,31,100
S01001800,897,886,8,3,2,188,868,-,3,1,-,25
S01001801,975,968,7,-,-,151,926,-,1,4,3,41
S01001802,775,766,8,1,6,211,673,-,6,-,11,85
S01001803,973,945,22,6,5,219,831,3,7,-,8,124
S01001804,928,907,17,4,3,241,836,4,12,1,6,69
S01001805,680,677,2,1,1,203,651,-,-,-,-,29
S01001806,649,646,2,1,5,145,627,-,3,-,-,19
S01001807,818,817,1,-,3,185,796,2,1,-,-,19
S01001808,517,509,6,2,3,163,466,-,2,-,10,39
S01001809,975,959,12,4,3,328,860,1,1,4,33,76
S01001810,847,836,6,5,7,214,769,4,3,2,7,62
S01001811,655,649,4,2,5,114,628,-,2,-,3,22
S01001812,873,870,3,-,6,115,824,1,1,4,-,43
S01001813,688,683,5,-,4,127,659,-,2,-,4,23
S01001814,680,676,3,1,3,153,619,1,-,-,2,58
S01001815,819,814,5,-,4,154,791,-,1,4,3,20
S01001816,"1,081","1,077",3,1,1,160,"1,033",-,5,-,-,43
S01001817,665,643,20,2,2,201,551,1,4,3,9,97
S01001818,739,732,5,2,4,148,695,4,2,2,8,28
S01001819,975,973,2,-,5,135,942,2,2,-,1,28
S01001820,726,706,19,1,6,208,620,-,5,-,19,82
S01001821,483,475,6,2,2,103,406,2,-,-,1,74
S01001822,952,937,14,1,4,234,864,-,3,2,6,77
S01001823,876,837,36,3,2,270,716,-,7,1,52,100
S01001824,720,712,6,2,5,186,673,2,1,4,4,36
S01001825,771,755,12,4,13,111,648,12,2,1,6,102
S01001826,636,625,10,1,4,243,581,1,3,4,23,24
S01001827,778,753,18,7,5,248,671,2,7,-,20,78
S01001828,723,717,6,-,1,105,652,-,7,-,-,64
S01001829,700,692,8,-,5,140,657,1,-,-,8,34
S01001830,914,905,9,-,2,156,845,-,3,-,2,64
S01001831,702,700,2,-,5,215,673,3,4,-,6,16
S01001832,684,667,13,4,5,245,628,-,4,2,11,39
S01001833,"1,105","1,092",13,-,5,146,"1,049",-,7,-,-,49
S01001834,571,558,11,2,2,183,535,-,5,-,9,22
S01001835,608,604,4,-,4,95,564,-,1,3,4,36
S01001836,842,832,10,-,5,149,797,2,4,1,6,32
S01001837,877,866,8,3,9,160,812,5,-,2,-,58
S01001838,640,630,8,2,3,191,568,-,7,5,6,54
S01001839,878,857,14,7,3,272,780,-,8,-,24,66
S01001840,682,679,3,-,3,153,654,3,5,1,-,19
S01001841,684,675,9,-,3,171,629,-,4,-,11,40
S01001842,733,709,21,3,5,145,621,-,1,-,4,107
S01001843,688,669,15,4,9,203,612,-,3,5,10,58
S01001844,"2,452","2,399",53,-,18,361,"1,716",7,5,1,5,718
S01001845,758,745,11,2,7,105,708,3,2,-,4,41
S01001846,851,844,5,2,3,130,797,-,2,3,4,45
S01001847,885,854,26,5,1,292,773,-,12,5,14,81
S01001848,704,685,18,1,3,194,631,-,2,5,22,44
S01001849,568,567,1,-,-,72,537,-,4,-,-,27
S01001850,702,687,14,1,3,196,640,-,10,1,12,39
S01001851,867,834,30,3,9,188,655,6,8,-,13,185
S01001852,752,746,2,4,7,151,680,1,8,2,-,61
S01001853,715,715,-,-,5,145,689,5,5,1,1,14
S01001854,976,966,9,1,15,225,879,1,3,2,10,81
S01001855,773,760,11,2,8,156,662,1,4,-,4,102
S01001856,800,791,9,-,2,205,715,-,3,2,18,62
S01001857,658,653,5,-,-,225,594,-,3,-,2,59
S01001858,886,878,7,1,12,178,823,7,3,-,1,52
S01001859,"1,016",996,17,3,1,322,918,1,8,6,22,61
S01001860,"1,102","1,096",6,-,2,144,982,-,3,-,2,115
S01001861,767,756,10,1,1,251,699,-,3,3,19,43
S01001862,778,773,5,-,2,211,737,1,7,1,-,32
S01001863,779,773,5,1,2,217,755,-,-,1,1,22
S01001864,"1,305","1,262",36,7,2,380,"1,029",-,1,1,108,166
S01001865,675,645,27,3,7,209,542,3,4,2,40,84
S01001866,658,658,-,-,1,94,626,-,1,-,3,28
S01001867,704,675,23,6,-,226,599,-,4,1,14,86
S01001868,734,717,16,1,2,168,690,1,2,-,4,37
S01001869,801,795,6,-,8,204,741,6,3,-,6,45
S01001870,900,865,25,10,5,293,758,-,9,1,52,80
S01001871,"1,630","1,612",16,2,7,294,"1,469",1,10,1,18,131
S01001872,856,828,19,9,2,237,726,-,4,2,11,113
S01001873,781,774,6,1,13,135,705,2,5,2,3,64
S01001874,"1,077","1,021",39,17,8,355,738,-,12,2,120,205
S01001875,885,881,4,-,2,103,865,-,1,-,2,17
S01001876,972,959,10,3,4,243,864,1,1,2,16,88
S01001877,890,866,17,7,5,288,788,-,3,4,23,72
S01001878,"1,058","1,055",3,-,6,165,"1,016",-,1,-,4,37
S01001879,603,581,18,4,8,219,503,-,2,-,25,73
S01001880,714,683,27,4,4,230,605,2,5,6,34,62
S01001881,734,725,8,1,1,145,673,-,-,1,6,54
S01001882,745,729,16,-,1,198,632,-,3,-,21,89
S01001883,515,513,2,-,6,56,479,2,-,-,-,34
S01001884,867,857,10,-,2,215,753,-,-,1,17,96
S01001885,"1,168","1,163",5,-,9,173,"1,094",1,1,2,5,65
S01001886,546,525,20,1,3,177,488,-,4,1,16,37
S01001887,797,787,6,4,2,265,767,-,7,-,8,15
S01001888,851,841,6,4,8,137,768,3,-,-,-,80
S01001889,523,514,9,-,4,107,434,1,3,-,2,83
S01001890,942,924,15,3,5,282,830,2,10,6,16,78
S01001891,678,657,18,3,2,156,546,-,3,1,14,114
S01001892,895,854,33,8,3,280,727,1,7,4,48,108
S01001893,944,902,31,11,9,295,777,-,8,3,36,120
S01001894,746,707,32,7,12,233,622,-,11,3,75,35
S01001895,819,792,15,12,3,236,682,2,11,4,20,100
S01001896,779,777,1,1,9,76,738,4,1,1,1,34
S01001897,853,822,23,8,-,293,719,-,15,4,39,76
S01001898,583,569,11,3,6,206,519,-,13,2,8,41
S01001899,755,750,5,-,3,244,715,-,3,-,1,36
S01001900,733,718,14,1,10,187,680,2,1,-,6,44
S01001901,900,887,12,1,11,129,833,5,1,-,4,57
S01001902,881,876,5,-,7,86,824,6,2,-,3,46
S01001903,574,557,15,2,-,159,460,-,2,1,21,90
S01001904,583,565,17,1,-,166,507,-,10,1,15,50
S01001905,880,870,8,2,9,116,792,5,1,-,2,80
S01001906,671,634,36,1,7,215,549,1,2,2,36,81
S01001907,781,769,11,1,2,237,708,-,4,1,5,63
S01001908,888,859,27,2,8,124,657,1,3,-,4,223
S01001909,624,595,23,6,12,199,532,1,1,-,36,54
S01001910,704,692,9,3,2,204,613,1,9,2,21,58
S01001911,707,701,5,1,5,106,666,3,-,-,1,37
S01001912,719,710,9,-,2,213,661,-,1,1,15,41
S01001913,970,948,21,1,9,262,885,4,5,1,15,60
S01001914,553,552,1,-,5,85,516,1,3,2,4,27
S01001915,875,864,11,-,6,183,811,2,7,-,8,47
S01001916,838,827,10,1,6,117,731,6,6,1,8,86
S01001917,729,716,11,2,9,80,659,5,7,-,7,51
S01001918,878,866,9,3,20,160,724,7,3,4,19,121
S01001919,805,796,7,2,5,243,747,-,5,-,9,44
S01001920,730,715,11,4,7,172,582,-,14,2,12,120
S01001921,593,580,13,-,3,196,541,2,2,8,4,36
S01001922,774,769,3,2,1,159,749,1,2,4,-,18
S01001923,557,530,21,6,2,143,384,-,-,8,14,151
S01001924,745,738,7,-,9,132,667,1,4,-,11,62
S01001925,758,749,8,1,10,128,685,2,1,-,4,66
S01001926,640,629,10,1,5,149,555,-,-,-,24,61
S01001927,944,936,8,-,10,146,883,1,1,1,1,57
S01001928,908,859,48,1,2,123,825,1,4,3,16,59
S01001929,960,956,4,-,7,158,900,-,2,2,5,51
S01001930,763,753,10,-,13,116,663,2,-,3,8,87
