,All people,England,Northern Ireland,Scotland,Wales,Republic of Ireland,Other EU: Member countries in March 2001 (1),Other EU: Accession countries April 2001 to March 2011,Other countries
S01001358,915,55,3,839,3,1,4,3,7
S01001359,741,35,7,678,0,2,8,0,11
S01001360,1168,83,5,1061,1,2,5,1,10
S01001361,645,27,7,602,0,0,1,0,8
S01001362,547,19,2,512,2,0,3,1,8
S01001363,559,33,1,512,1,1,2,0,9
S01001364,850,56,6,765,3,1,5,0,14
S01001365,607,28,2,571,1,0,3,0,2
S01001366,900,33,7,834,0,0,2,5,19
S01001367,701,33,4,646,2,1,1,0,14
S01001368,1187,112,24,995,8,2,10,2,34
S01001369,933,44,2,873,3,2,3,2,4
S01001370,830,36,9,758,3,2,2,6,14
S01001371,697,31,4,643,1,1,1,3,13
S01001372,685,32,2,642,0,2,0,0,7
S01001373,693,26,6,648,0,2,2,0,9
S01001374,514,18,2,490,0,0,2,0,2
S01001375,631,41,3,572,1,2,5,0,7
S01001376,772,32,8,703,1,1,3,3,21
S01001377,777,18,3,738,1,1,4,2,10
S01001378,622,44,5,554,0,3,3,1,12
S01001379,1026,46,7,955,2,0,9,1,6
S01001380,781,29,5,728,4,1,2,1,11
S01001381,825,42,5,754,3,6,5,0,10
S01001382,657,36,2,594,2,3,4,5,11
S01001383,565,23,3,529,0,0,3,2,5
S01001384,923,39,6,854,0,1,5,6,12
S01001385,776,29,10,716,4,1,2,1,13
S01001386,862,35,3,783,1,4,10,11,15
S01001387,909,22,7,867,0,0,2,0,11
S01001388,1430,92,6,1271,4,3,3,27,24
S01001389,484,13,1,456,0,0,3,1,10
S01001390,759,48,4,688,1,2,3,5,8
S01001391,722,45,5,648,0,4,5,8,7
S01001392,786,22,1,754,0,0,1,0,8
S01001393,522,38,2,465,1,1,3,1,11
S01001394,430,36,1,381,0,1,3,6,2
S01001395,928,52,1,848,1,2,10,2,12
S01001396,788,34,6,695,2,0,8,2,41
S01001397,781,60,3,696,3,0,2,3,14
S01001398,780,52,6,679,2,8,4,3,26
S01001399,858,44,3,793,0,3,7,6,2
S01001400,913,37,4,857,1,2,4,5,3
S01001401,656,17,3,626,1,1,3,0,5
S01001402,818,42,9,750,3,1,2,4,7
S01001403,1249,98,9,1095,3,6,12,4,22
S01001404,657,46,8,564,1,2,5,2,29
S01001405,1167,70,7,1043,2,6,4,0,35
S01001406,2581,178,22,2258,5,10,20,9,79
S01001407,788,51,6,704,1,3,10,5,8
S01001408,881,65,4,794,2,1,9,0,6
S01001409,898,47,0,830,0,3,3,5,10
S01001410,1038,70,3,931,4,4,8,2,16
S01001411,617,53,8,531,5,2,5,0,13
S01001412,896,28,5,847,1,1,3,0,11
S01001413,890,62,6,798,2,3,8,0,11
S01001414,642,36,4,589,2,5,4,0,2
S01001415,805,57,4,713,4,2,8,2,15
S01001416,720,39,4,660,2,1,4,1,9
S01001417,923,69,6,828,7,2,3,3,5
S01001418,831,61,2,744,4,2,4,7,7
S01001419,779,55,3,691,2,5,8,5,10
S01001420,1185,77,13,1044,2,7,8,5,29
S01001421,1127,97,11,965,4,7,9,1,33
S01001422,727,53,5,646,2,2,5,1,13
S01001423,795,31,1,734,1,0,7,1,20
S01001424,1072,31,3,1006,0,3,9,2,18
S01001425,1694,81,7,1489,1,2,10,7,97
S01001426,819,24,0,764,0,2,6,0,23
S01001427,881,28,1,801,0,6,4,5,36
S01001428,864,24,0,821,1,1,2,4,11
S01001429,610,22,4,557,1,7,3,3,13
S01001430,946,53,5,825,0,4,7,0,52
S01001431,940,19,1,895,0,5,2,1,17
S01001432,655,22,2,593,1,2,2,4,29
S01001433,816,21,4,750,5,2,3,1,30
S01001434,869,37,5,789,1,6,6,0,25
S01001435,1037,33,8,968,3,4,5,0,16
S01001436,976,70,6,842,3,10,11,2,32
S01001437,891,35,4,810,1,10,3,1,27
S01001438,613,39,5,534,1,1,7,2,24
S01001439,750,21,3,697,1,2,8,0,18
S01001440,878,28,3,816,0,1,1,1,28
S01001441,790,34,7,733,0,4,4,0,8
S01001442,685,32,3,632,0,4,0,0,14
S01001443,932,36,2,843,0,6,8,1,36
S01001444,915,29,2,824,0,4,5,2,49
S01001445,702,37,7,632,1,3,4,0,18
S01001446,908,40,5,823,1,9,5,0,25
S01001447,1321,106,7,1094,4,4,9,2,95
S01001448,744,20,3,700,0,4,4,1,12
S01001449,599,30,6,515,0,2,3,0,43
S01001450,809,40,4,739,1,1,4,2,18
S01001451,699,42,6,607,0,3,4,2,35
S01001452,820,44,11,685,2,2,5,1,70
S01001453,835,35,2,770,1,2,2,0,23
S01001454,914,56,5,786,4,5,10,3,45
S01001455,771,44,3,682,2,5,7,1,27
S01001456,656,40,5,564,3,4,10,3,27
S01001457,904,80,5,791,2,4,3,0,19
S01001458,917,40,1,834,2,3,8,2,27
S01001459,905,61,7,767,1,3,10,0,56
S01001460,653,31,3,584,5,5,1,4,20
S01001461,856,35,0,780,0,4,6,0,31
S01001462,831,69,6,701,2,9,6,0,38
S01001463,516,19,2,486,0,1,2,0,6
S01001464,881,36,4,807,4,2,7,2,19
S01001465,691,63,11,565,2,8,5,0,37
S01001466,727,48,7,611,3,3,2,1,52
S01001467,812,40,3,750,3,1,1,0,14
S01001468,667,28,1,608,0,7,1,0,22
S01001469,860,64,4,726,2,2,3,1,58
S01001470,937,104,24,744,4,6,14,1,40
S01001471,759,58,6,646,4,10,2,8,25
S01001472,800,67,9,693,1,4,3,0,23
S01001473,778,71,5,647,3,0,6,4,42
S01001474,882,40,7,812,0,1,2,0,20
S01001475,610,36,9,528,2,2,7,2,24
S01001476,993,87,18,809,3,7,11,1,57
S01001477,933,54,3,823,2,8,2,0,41
S01001478,662,43,4,596,1,4,3,1,10
S01001479,635,33,1,577,0,0,1,0,23
S01001480,489,38,4,433,1,0,1,0,12
S01001481,874,57,7,744,0,6,10,4,46
S01001482,701,22,5,630,2,1,2,3,36
S01001483,1049,128,13,848,2,5,9,2,42
S01001484,829,89,8,693,6,4,6,1,22
S01001485,614,32,1,573,1,2,1,0,4
S01001486,755,68,9,610,5,1,9,0,53
S01001487,665,32,1,613,0,3,4,2,10
S01001488,872,53,3,774,4,2,3,5,28
S01001489,801,39,3,712,1,1,7,2,36
S01001490,961,40,3,881,1,5,10,3,18
S01001491,884,62,8,764,3,1,9,3,34
S01001492,913,38,3,849,0,9,4,0,10
S01001493,886,53,5,808,2,4,1,1,12
S01001494,891,34,2,823,2,3,3,4,20
S01001495,618,50,3,504,1,1,5,2,52
S01001496,936,85,13,771,2,6,3,3,53
S01001497,766,37,4,706,0,0,7,1,11
S01001498,678,36,2,601,2,0,3,1,33
S01001499,1091,77,4,972,3,5,12,2,16
S01001500,583,20,3,552,0,1,4,0,3
S01001501,858,66,6,752,3,4,3,0,24
S01001502,840,34,2,781,3,3,4,2,11
S01001503,802,44,3,745,0,0,3,1,6
S01001504,875,34,5,812,4,3,4,2,11
S01001505,1029,38,5,943,9,3,5,2,24
S01001506,602,33,0,537,2,1,6,2,21
S01001507,895,58,6,735,4,7,5,2,78
S01001508,903,50,4,800,2,3,6,5,33
S01001509,814,37,3,760,1,1,2,1,9
S01001510,630,32,2,561,1,0,6,7,21
S01001511,575,46,3,508,2,3,2,0,11
S01001512,852,23,3,805,1,0,3,4,13
S01001513,911,39,4,852,1,4,3,4,4
S01001514,747,35,4,699,1,0,1,0,7
S01001515,697,54,2,616,0,4,3,0,18
S01001516,704,21,7,660,2,2,5,1,6
S01001517,847,49,5,763,2,2,8,0,18
S01001518,1014,42,1,932,3,2,16,1,17
S01001519,962,102,8,808,3,5,7,1,28
S01001520,707,22,1,667,1,1,3,2,10
S01001521,977,116,3,787,6,4,9,0,52
S01001522,1057,29,2,994,0,8,5,4,15
S01001523,790,65,4,653,2,5,8,1,52
S01001524,941,30,1,891,3,2,8,1,5
S01001525,788,27,1,747,1,2,3,1,6
S01001526,627,34,0,576,3,1,3,0,10
S01001527,898,44,3,809,0,3,10,0,29
S01001528,973,80,8,853,2,3,5,5,17
S01001529,707,52,13,594,3,3,7,2,33
S01001530,761,33,2,707,0,3,3,0,13
S01001531,1175,56,6,1066,1,5,3,7,31
S01001532,597,54,6,494,3,6,2,0,32
S01001533,962,95,11,813,6,6,5,6,20
S01001534,669,32,3,617,1,2,6,0,8
S01001535,853,64,5,761,1,4,5,0,13
S01001536,808,24,2,768,2,0,0,1,11
S01001537,499,15,1,477,0,3,2,0,1
S01001538,814,92,8,676,2,1,5,2,28
S01001539,892,56,5,809,3,2,2,0,15
S01001540,810,82,8,668,3,1,11,1,36
S01001541,828,55,5,754,3,3,0,1,7
S01001542,670,32,3,607,1,4,11,0,12
S01001543,746,51,0,672,1,0,3,1,18
S01001544,919,33,5,856,1,7,3,6,8
S01001545,715,48,5,628,2,3,7,7,15
S01001546,989,44,2,910,8,2,7,1,15
S01001547,995,32,5,936,4,2,5,6,5
S01001548,1035,65,8,919,1,4,5,9,24
S01001549,996,65,10,884,5,7,5,1,19
S01001550,789,126,11,609,2,4,12,1,24
S01001551,936,156,8,723,4,3,9,2,31
S01001552,864,90,2,739,2,0,7,10,14
S01001553,903,198,6,619,5,10,17,10,38
S01001554,992,110,4,835,2,4,9,4,24
S01001555,758,47,4,681,0,1,9,1,15
S01001556,845,67,4,744,2,7,3,0,18
S01001557,989,147,6,786,4,4,11,2,29
S01001558,829,67,1,742,1,0,4,4,10
S01001559,387,25,0,351,2,2,3,1,3
S01001560,1450,184,38,852,7,74,73,23,199
S01001561,1347,117,6,1150,7,6,7,13,41
S01001562,2633,145,4,2376,10,3,26,21,48
S01001563,597,35,5,543,1,1,1,0,11
S01001564,557,23,3,506,4,3,3,2,13
S01001565,733,51,5,626,0,7,7,15,22
S01001566,664,34,3,607,0,0,4,5,11
S01001567,907,52,0,813,4,0,16,5,17
S01001568,727,79,9,587,5,3,10,15,19
S01001569,811,52,8,704,7,1,6,7,26
S01001570,512,37,4,449,1,0,3,0,18
S01001571,724,26,3,662,2,4,5,6,16
S01001572,532,29,7,482,0,0,2,5,7
S01001573,658,125,4,489,3,0,5,8,24
S01001574,877,45,0,789,3,1,6,14,19
S01001575,750,35,10,655,3,2,14,13,18
S01001576,597,19,4,553,3,3,1,5,9
S01001577,714,40,4,657,0,1,3,1,8
S01001578,756,37,1,698,5,0,2,2,11
S01001579,849,30,4,763,8,1,7,22,14
S01001580,565,41,1,488,2,2,10,3,18
S01001581,640,19,4,595,1,2,1,11,7
S01001582,711,36,4,645,0,8,2,8,8
S01001583,482,23,3,440,0,2,3,3,8
S01001584,776,39,1,701,1,1,12,4,17
S01001585,920,53,11,786,2,10,5,26,27
S01001586,473,33,6,424,2,0,3,0,5
S01001587,755,25,0,709,1,1,5,5,9
S01001588,796,39,2,720,2,1,10,8,14
S01001589,819,28,1,768,1,2,3,4,12
S01001590,642,42,6,531,4,4,9,16,30
S01001591,641,32,3,588,1,3,2,8,4
S01001592,796,54,2,687,1,1,11,17,23
S01001593,784,53,9,628,5,10,11,31,37
S01001594,798,71,6,641,6,9,11,21,33
S01001595,718,30,2,643,1,3,14,17,8
S01001596,826,75,2,700,2,1,10,14,22
S01001597,851,99,10,597,10,4,38,25,68
S01001598,678,36,2,611,1,1,5,5,17
S01001599,924,69,4,742,1,18,13,33,44
S01001600,1012,77,9,828,3,4,12,37,42
S01001601,1213,227,11,886,12,13,14,10,40
S01001602,640,36,4,558,0,2,11,3,26
S01001603,1009,54,4,893,5,2,9,20,22
S01001604,644,22,0,597,1,0,9,8,7
S01001605,762,55,6,687,2,4,4,0,4
S01001606,617,44,4,526,1,7,10,9,16
S01001607,2654,179,10,2305,10,7,33,57,53
S01001608,809,102,2,656,4,4,7,15,19
S01001609,901,71,3,795,2,1,6,5,18
S01001610,777,120,5,569,2,5,13,25,38
S01001611,1024,175,10,775,4,10,14,14,22
S01001612,835,100,2,700,3,5,8,5,12
S01001613,776,32,1,714,3,2,4,15,5
S01001614,672,71,1,562,2,2,6,12,16
S01001615,780,81,0,650,2,1,4,16,26
S01001616,754,113,6,600,6,7,6,0,16
S01001617,628,19,1,588,1,2,1,2,14
S01001618,946,145,12,732,5,2,16,4,30
S01001619,693,31,0,634,5,1,6,9,7
S01001620,875,45,3,806,3,3,5,3,7
S01001621,680,26,2,627,2,0,11,2,10
S01001622,838,88,3,684,3,2,5,25,28
S01001623,766,51,3,677,1,6,6,8,14
S01001624,996,101,6,832,7,8,7,12,23
S01001625,797,40,0,719,0,4,5,11,18
S01001626,737,60,4,641,2,2,5,8,15
S01001627,1394,67,6,1261,4,2,15,25,14
S01001628,618,18,1,590,1,0,4,0,4
S01001629,567,34,2,510,1,1,3,2,14
S01001630,556,28,6,498,1,0,1,9,13
S01001631,1415,94,13,1246,7,4,14,6,31
S01001632,583,28,6,528,4,0,3,5,9
S01001633,885,120,5,727,4,1,8,3,17
S01001634,1029,48,5,953,5,0,4,4,10
S01001635,735,49,1,649,0,1,9,10,16
S01001636,515,35,4,456,3,0,3,7,7
S01001637,709,81,5,579,2,3,5,19,15
S01001638,887,65,4,761,8,10,11,8,20
S01001639,710,47,5,644,1,2,2,0,9
S01001640,648,91,13,510,3,5,1,4,21
S01001641,1566,215,18,1273,6,3,14,4,33
S01001642,900,88,2,773,7,1,9,3,17
S01001643,733,91,5,612,1,3,3,3,15
S01001644,1768,226,10,1446,8,12,11,10,45
S01001645,987,135,7,765,2,8,8,21,41
S01001646,612,85,2,499,1,0,4,4,17
S01001647,647,69,10,544,7,2,4,1,10
S01001648,747,77,4,638,2,6,4,6,10
S01001649,754,43,3,667,1,1,3,21,15
S01001650,852,121,8,672,4,5,9,2,31
S01001651,901,108,4,719,2,5,11,16,36
S01001652,774,170,12,538,8,2,6,5,33
S01001653,617,75,6,501,3,2,3,10,17
S01001654,936,123,5,751,11,6,14,0,26
S01001655,578,93,7,443,2,2,8,1,22
S01001656,1352,182,14,1075,7,6,18,5,45
S01001657,502,109,3,361,2,0,5,3,19
S01001658,1002,197,13,710,13,2,21,10,36
S01001659,706,156,10,497,5,6,4,8,20
S01001660,678,144,11,476,7,7,7,0,26
S01001661,818,161,10,588,4,4,8,15,28
S01001662,729,82,2,609,3,5,11,8,9
S01001663,841,168,7,617,2,4,5,8,30
S01001664,557,134,10,383,3,7,2,5,13
S01001665,868,168,7,646,8,4,9,0,26
S01001666,558,93,4,421,4,3,6,15,12
S01001667,819,164,5,590,6,7,17,2,28
S01001668,878,203,8,587,4,3,12,15,46
S01001669,669,102,3,475,5,11,14,19,40
S01001670,639,36,5,584,5,4,2,0,3
S01001671,516,23,3,475,1,3,2,2,7
S01001672,583,31,0,540,3,1,4,2,2
S01001673,662,44,5,597,1,3,0,1,11
S01001674,697,40,10,626,2,3,4,0,12
S01001675,706,37,5,646,2,2,0,4,10
S01001676,1223,105,8,997,7,11,15,1,79
S01001677,844,61,7,732,2,5,5,3,29
S01001678,832,53,1,756,2,6,4,3,7
S01001679,934,59,2,816,3,1,6,0,47
S01001680,589,30,8,527,4,2,5,0,13
S01001681,674,46,11,565,2,7,10,2,31
S01001682,601,28,2,564,0,3,0,0,4
S01001683,734,52,7,634,3,2,5,1,30
S01001684,516,57,2,444,1,1,4,0,7
S01001685,763,25,2,679,3,2,8,10,34
S01001686,900,60,4,789,3,1,8,1,34
S01001687,980,82,7,837,4,4,3,1,42
S01001688,956,48,5,843,1,3,4,1,51
S01001689,674,33,1,611,1,1,4,1,22
S01001690,906,53,7,785,4,8,6,4,39
S01001691,848,73,3,730,3,7,2,0,30
S01001692,662,42,3,565,1,4,5,1,41
S01001693,915,51,1,759,5,4,6,8,81
S01001694,657,36,5,588,1,3,3,1,20
S01001695,761,36,2,659,5,7,10,2,40
S01001696,739,31,6,666,2,2,4,4,24
S01001697,853,34,2,752,2,6,8,2,47
S01001698,529,22,1,481,4,3,1,0,17
S01001699,700,36,10,607,1,2,5,0,39
S01001700,1023,84,7,872,5,7,6,0,42
S01001701,926,39,0,852,1,2,6,0,26
S01001702,990,58,5,869,2,2,9,3,42
S01001703,822,39,4,703,6,2,1,0,67
S01001704,916,68,5,779,1,2,6,2,53
S01001705,629,42,0,537,0,0,6,0,44
S01001706,789,39,9,708,1,2,2,3,25
S01001707,727,20,8,658,1,9,1,4,26
S01001708,953,81,4,792,2,3,3,2,66
S01001709,602,29,1,512,0,2,7,0,51
S01001710,692,38,3,612,1,3,9,4,22
S01001711,790,28,2,713,1,7,6,1,32
S01001712,458,12,2,426,1,4,3,0,10
S01001713,871,50,3,724,1,1,6,0,86
S01001714,705,28,3,649,1,5,6,0,13
S01001715,883,48,9,756,2,3,0,0,65
S01001716,846,42,2,786,1,1,3,0,11
S01001717,808,42,2,733,0,3,4,2,22
S01001718,550,38,3,495,3,1,3,0,7
S01001719,795,46,3,714,3,2,3,0,24
S01001720,699,36,4,593,7,3,12,0,44
S01001721,731,44,2,620,0,3,3,7,52
S01001722,746,40,5,658,5,4,3,2,29
S01001723,872,57,6,745,2,5,8,2,47
S01001724,813,26,7,761,2,4,2,0,11
S01001725,779,26,1,735,2,3,2,0,10
S01001726,649,34,3,584,2,5,5,0,16
S01001727,1015,71,7,883,2,7,15,2,28
S01001728,649,31,4,589,0,11,4,0,10
S01001729,976,35,7,901,1,5,2,6,19
S01001730,650,23,3,608,1,0,2,0,13
S01001731,674,37,3,607,1,4,2,0,20
S01001732,571,22,2,523,1,1,2,4,16
S01001733,908,33,8,847,2,4,2,0,12
S01001734,530,31,3,479,0,3,1,0,13
S01001735,480,27,1,434,0,1,3,1,13
S01001736,1092,95,7,921,4,6,11,0,48
S01001737,609,22,3,560,1,4,4,1,14
S01001738,610,26,7,557,1,3,4,1,11
S01001739,637,19,4,594,0,1,3,1,15
S01001740,745,46,4,677,2,2,5,1,8
S01001741,651,17,3,621,0,0,3,4,3
S01001742,764,22,1,690,3,4,3,15,26
S01001743,990,30,2,913,5,4,3,15,18
S01001744,546,24,5,501,0,2,6,0,8
S01001745,795,23,3,739,1,3,8,0,18
S01001746,967,64,2,851,7,7,7,1,28
S01001747,857,23,2,810,3,2,3,8,6
S01001748,619,22,2,586,1,2,2,0,4
S01001749,739,30,0,685,1,3,4,6,10
S01001750,633,27,3,590,1,1,3,5,3
S01001751,963,21,5,908,3,3,4,6,13
S01001752,935,48,6,833,3,8,1,0,36
S01001753,799,18,2,761,1,1,2,3,11
S01001754,771,63,4,678,0,5,1,2,18
S01001755,1062,59,5,928,2,4,7,5,52
S01001756,652,40,4,583,1,4,6,1,13
S01001757,757,32,2,702,1,2,4,0,14
S01001758,785,47,4,694,0,3,10,2,25
S01001759,684,20,4,642,0,2,5,5,6
S01001760,797,28,4,743,1,5,5,2,9
S01001761,727,23,0,683,1,4,1,4,11
S01001762,978,77,11,832,0,2,10,2,44
S01001763,832,50,5,734,1,2,9,0,31
S01001764,531,22,1,474,0,3,3,0,28
S01001765,949,33,2,894,0,6,4,2,8
S01001766,651,37,5,554,4,3,10,2,36
S01001767,587,38,4,507,3,1,5,0,29
S01001768,604,29,4,540,3,3,3,0,22
S01001769,626,31,3,556,1,2,2,3,28
S01001770,566,17,2,521,1,1,0,12,12
S01001771,841,40,6,725,1,0,1,6,62
S01001772,522,33,0,461,0,2,4,0,22
S01001773,941,24,3,843,0,6,8,4,53
S01001774,673,23,4,616,0,2,4,1,23
S01001775,836,47,8,743,2,4,8,0,24
S01001776,624,15,4,582,1,2,4,4,12
S01001777,916,58,14,815,3,7,6,0,13
S01001778,877,24,2,825,1,1,4,5,15
S01001779,539,32,4,446,0,9,6,1,41
S01001780,867,39,8,769,3,5,3,1,39
S01001781,690,33,1,599,1,2,6,0,48
S01001782,968,46,6,847,0,7,9,0,53
S01001783,598,28,1,533,1,0,3,18,14
S01001784,589,21,4,491,1,1,5,1,65
S01001785,611,27,3,569,1,1,2,0,8
S01001786,640,23,4,598,0,3,2,2,8
S01001787,566,19,2,517,0,1,0,7,20
S01001788,791,17,3,752,1,7,6,0,5
S01001789,738,24,2,680,0,2,5,2,23
S01001790,692,61,12,569,1,2,8,6,33
S01001791,726,119,6,542,5,6,18,5,25
S01001792,684,60,6,575,1,2,8,1,31
S01001793,903,138,7,693,8,3,11,4,39
S01001794,948,106,10,769,6,4,18,4,31
S01001795,443,64,6,341,0,2,11,4,15
S01001796,835,108,10,669,5,5,9,1,28
S01001797,676,49,4,588,2,2,8,0,23
S01001798,806,113,6,618,11,2,16,5,35
S01001799,1090,62,1,898,2,2,12,38,75
S01001800,942,63,6,823,4,2,8,0,36
S01001801,1008,162,20,738,10,8,17,10,43
S01001802,835,39,9,692,3,4,15,16,57
S01001803,1010,80,9,810,2,7,6,9,87
S01001804,952,63,3,799,1,8,14,10,54
S01001805,699,48,3,608,5,1,10,2,22
S01001806,666,70,6,547,0,6,6,0,31
S01001807,841,70,3,731,3,2,6,1,25
S01001808,528,27,1,445,3,4,7,17,24
S01001809,1036,71,5,848,1,1,9,35,66
S01001810,876,83,7,707,4,0,10,11,54
S01001811,673,90,7,541,2,7,2,4,20
S01001812,898,143,9,677,3,4,15,0,47
S01001813,709,69,9,595,1,0,6,4,25
S01001814,723,103,8,549,2,3,7,3,48
S01001815,842,71,9,732,7,0,11,5,7
S01001816,1120,176,15,842,6,8,16,4,53
S01001817,699,57,4,549,1,2,5,20,61
S01001818,752,104,7,593,4,5,14,3,22
S01001819,997,165,14,747,8,4,16,1,42
S01001820,778,62,3,629,1,3,12,24,44
S01001821,549,133,9,312,6,2,11,2,74
S01001822,984,77,7,807,2,3,11,7,70
S01001823,928,67,1,718,2,4,14,53,69
S01001824,739,57,9,623,4,2,5,9,30
S01001825,798,94,6,600,1,4,11,6,76
S01001826,675,35,5,579,2,3,9,22,20
S01001827,830,47,11,669,4,6,11,31,51
S01001828,750,83,12,588,3,4,13,7,40
S01001829,710,88,6,550,5,5,12,14,30
S01001830,942,94,11,769,2,3,18,6,39
S01001831,724,48,3,640,1,3,9,6,14
S01001832,715,27,5,626,0,8,3,12,34
S01001833,1153,169,13,863,7,8,26,2,65
S01001834,587,30,4,505,4,5,1,10,28
S01001835,634,119,5,455,4,7,11,7,26
S01001836,870,100,5,707,5,0,4,6,43
S01001837,900,122,11,694,2,1,11,6,53
S01001838,674,49,5,545,3,2,11,8,51
S01001839,912,51,11,744,5,8,18,24,51
S01001840,701,68,1,603,2,3,5,3,16
S01001841,720,60,6,600,1,4,12,13,24
S01001842,757,52,3,608,1,1,8,7,77
S01001843,724,48,4,594,1,6,12,19,40
S01001844,2465,279,72,1191,8,29,219,38,629
S01001845,780,104,6,613,5,3,6,4,39
S01001846,886,99,6,723,4,4,4,4,42
S01001847,930,48,1,758,3,8,12,15,85
S01001848,748,44,4,622,3,2,13,22,38
S01001849,582,77,8,449,4,5,7,1,31
S01001850,726,73,7,582,4,7,10,14,29
S01001851,892,88,7,661,5,2,15,13,101
S01001852,766,53,1,648,3,0,5,0,56
S01001853,724,85,9,584,3,1,10,0,32
S01001854,1037,166,15,728,6,7,17,11,87
S01001855,802,81,11,609,2,1,19,5,74
S01001856,840,58,4,686,3,4,12,23,50
S01001857,679,35,3,579,1,3,10,4,44
S01001858,903,94,11,736,5,4,13,4,36
S01001859,1066,38,5,932,2,2,9,24,54
S01001860,1128,177,15,774,3,2,32,4,121
S01001861,802,38,7,683,2,0,9,24,39
S01001862,801,46,10,704,1,7,6,1,26
S01001863,807,53,2,712,3,3,8,2,24
S01001864,1387,88,5,984,6,2,18,120,164
S01001865,699,61,3,502,0,1,7,39,86
S01001866,675,102,11,519,1,3,6,5,28
S01001867,744,43,1,615,1,3,6,12,63
S01001868,753,105,5,571,2,4,15,6,45
S01001869,823,70,5,660,3,5,4,9,67
S01001870,961,41,3,783,1,3,13,57,60
S01001871,1700,236,15,1259,12,14,28,22,114
S01001872,888,45,4,709,1,5,18,15,91
S01001873,806,111,9,609,3,4,10,3,57
S01001874,1137,52,5,709,1,0,13,126,231
S01001875,907,143,12,694,6,9,6,3,34
S01001876,1020,67,10,814,3,6,22,18,80
S01001877,951,40,5,783,2,1,17,22,81
S01001878,1076,173,8,806,3,6,12,5,63
S01001879,640,35,0,505,1,4,9,30,56
S01001880,741,51,10,561,1,1,6,41,70
S01001881,755,62,6,621,2,8,10,6,40
S01001882,793,71,4,588,3,8,10,26,83
S01001883,532,86,12,369,3,4,12,1,45
S01001884,894,45,6,708,4,5,12,27,87
S01001885,1211,140,19,949,6,8,17,5,67
S01001886,564,48,5,449,2,2,8,19,31
S01001887,830,62,4,717,5,4,5,13,20
S01001888,881,113,11,664,4,9,16,2,62
S01001889,542,46,2,393,5,6,8,8,74
S01001890,994,60,5,820,6,1,23,23,56
S01001891,713,55,11,483,3,5,18,19,119
S01001892,973,49,2,733,2,3,10,62,112
S01001893,1000,82,6,720,3,2,18,49,120
S01001894,805,35,3,641,0,5,8,80,33
S01001895,859,51,9,644,4,6,14,28,103
S01001896,809,139,10,584,5,9,16,7,39
S01001897,914,51,5,729,4,1,8,47,69
S01001898,616,17,0,515,2,6,6,10,60
S01001899,785,35,5,686,2,6,5,3,43
S01001900,754,36,1,655,3,3,6,15,35
S01001901,934,154,15,675,3,10,9,9,59
S01001902,919,157,16,590,11,23,26,11,85
S01001903,598,39,5,438,2,8,7,23,76
S01001904,598,45,7,468,1,3,10,14,50
S01001905,905,162,15,589,2,22,27,4,84
S01001906,709,49,2,535,1,5,12,39,66
S01001907,811,56,1,665,4,12,12,11,50
S01001908,914,134,8,502,4,8,27,18,213
S01001909,670,38,3,512,4,4,9,44,56
S01001910,744,36,3,608,0,3,6,26,62
S01001911,747,116,9,560,3,6,19,0,34
S01001912,742,39,2,629,1,4,6,20,41
S01001913,1015,152,17,750,6,7,16,15,52
S01001914,573,115,13,382,4,2,12,2,43
S01001915,906,75,9,750,3,3,7,8,51
S01001916,860,148,16,516,2,20,37,13,108
S01001917,759,160,10,478,4,11,18,9,69
S01001918,901,114,29,549,8,21,26,38,116
S01001919,850,36,4,743,1,3,11,21,31
S01001920,760,59,6,536,3,3,18,18,117
S01001921,614,38,2,534,2,1,6,5,26
S01001922,804,112,16,627,6,4,7,0,32
S01001923,577,40,7,380,1,2,11,21,115
S01001924,775,95,8,578,10,4,13,10,57
S01001925,780,142,17,528,1,2,15,9,66
S01001926,678,34,1,561,2,3,6,29,42
S01001927,977,177,10,684,5,6,18,5,72
S01001928,918,184,15,576,3,15,30,21,74
S01001929,994,125,14,761,5,3,18,8,60
S01001930,786,154,20,433,6,18,48,15,92
S01001931,728,27,1,582,0,6,6,32,74
S01001932,1615,108,16,1379,4,11,11,22,64
S01001933,851,117,20,641,4,5,13,9,42
S01001934,1523,130,33,1132,2,19,24,38,145
S01001935,928,70,0,737,2,6,13,35,65
S01001936,1149,162,9,802,9,9,39,12,107
S01001937,867,64,10,703,2,6,20,4,58
S01001938,630,152,11,336,4,18,52,10,47
S01001939,556,123,21,290,7,27,23,15,50
S01001940,824,138,12,528,8,6,40,17,75
S01001941,1038,176,27,621,7,11,34,36,126
S01001942,571,92,13,352,3,16,22,11,62
S01001943,714,24,2,537,2,5,10,44,90
S01001944,781,145,20,522,0,7,12,4,71
S01001945,751,147,6,504,3,7,22,9,53
S01001946,858,32,7,658,2,0,17,75,67
S01001947,952,175,13,619,13,8,19,9,96
S01001948,862,40,2,702,1,6,13,41,57
S01001949,700,34,0,560,3,2,9,37,55
S01001950,893,78,15,638,5,9,25,47,76
S01001951,905,64,4,684,2,12,21,30,88
S01001952,767,174,13,446,11,2,28,10,83
S01001953,861,170,27,483,6,35,41,9,90
S01001954,440,32,0,354,0,1,2,20,31
S01001955,1137,59,8,894,2,3,13,61,97
S01001956,763,28,1,646,5,4,6,27,46
S01001957,500,17,6,382,2,5,6,30,52
S01001958,852,63,13,615,4,4,32,38,83
