Scotland's Census 2011 - National Records of Scotland
"Table KS401SC - Dwellings, household spaces and accommodation type"
All dwellings; All household spaces
, , , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
,All dwellings,All dwellings: Unshared,All dwellings: Shared: Two household spaces,All dwellings: Shared: Three or more household spaces,All household spaces,All household spaces: Occupied,All household spaces: Unoccupied: Second residence/holiday accommodation,All household spaces: Unoccupied: Vacant,All household spaces: Whole house or bungalow: Detached,All household spaces: Whole house or bungalow: Semi-detached,All household spaces: Whole house or bungalow: Terraced (including end-terrace),"All household spaces: Flat, maisonette or apartment: Purpose-built block of flats or tenement","All household spaces: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","All household spaces: Flat, maisonette or apartment: In a commercial building",All household spaces: Caravan or other mobile or temporary structure
S01001491,331,331,-,-,331,328,-,3,52,274,1,2,2,-,-
S01001492,442,442,-,-,442,428,1,13,60,105,144,130,2,1,-
S01001493,355,355,-,-,355,350,-,5,143,172,12,27,1,-,-
S01001494,433,432,1,-,434,426,-,8,14,192,42,183,3,-,-
S01001495,246,246,-,-,246,245,-,1,171,28,7,40,-,-,-
S01001496,404,404,-,-,404,400,-,4,208,56,42,96,-,2,-
S01001497,406,406,-,-,406,398,-,8,15,80,43,263,-,5,-
S01001498,262,262,-,-,262,260,-,2,114,126,18,4,-,-,-
S01001499,431,431,-,-,431,418,-,13,195,147,34,49,4,2,-
S01001500,268,268,-,-,268,262,-,6,31,39,71,127,-,-,-
S01001501,366,366,-,-,366,357,1,8,159,181,10,15,1,-,-
S01001502,323,323,-,-,323,318,-,5,67,241,10,5,-,-,-
S01001503,296,296,-,-,296,293,-,3,61,211,20,4,-,-,-
S01001504,454,454,-,-,454,448,-,6,14,156,85,193,5,1,-
S01001505,428,428,-,-,428,423,-,5,176,211,11,23,6,1,-
S01001506,330,330,-,-,330,325,-,5,43,35,18,215,14,5,-
S01001507,309,309,-,-,309,304,2,3,241,16,3,48,1,-,-
S01001508,326,326,-,-,326,326,-,-,176,106,39,5,-,-,-
S01001509,374,374,-,-,374,370,-,4,13,158,132,69,2,-,-
S01001510,347,347,-,-,347,338,-,9,71,39,29,182,12,14,-
S01001511,242,242,-,-,242,238,-,4,167,64,8,2,-,1,-
S01001512,383,383,-,-,383,374,-,9,22,148,94,118,1,-,-
S01001513,426,426,-,-,426,414,-,12,16,47,74,286,3,-,-
S01001514,329,329,-,-,329,328,-,1,64,140,50,75,-,-,-
S01001515,295,295,-,-,295,292,1,2,152,104,30,9,-,-,-
S01001516,324,324,-,-,324,321,-,3,20,21,201,82,-,-,-
S01001517,552,552,-,-,552,527,-,25,25,108,44,361,5,9,-
S01001518,424,424,-,-,424,421,-,3,12,170,137,104,-,1,-
S01001519,438,438,-,-,438,431,-,7,120,147,42,129,-,-,-
S01001520,316,316,-,-,316,313,-,3,16,51,165,84,-,-,-
S01001521,454,454,-,-,454,449,-,5,196,48,44,158,5,-,3
S01001522,524,524,-,-,524,511,-,13,56,96,245,111,16,-,-
S01001523,276,276,-,-,276,271,-,5,166,39,35,36,-,-,-
S01001524,437,437,-,-,437,428,-,9,7,22,270,138,-,-,-
S01001525,342,342,-,-,342,339,-,3,19,85,229,9,-,-,-
S01001526,285,285,-,-,285,281,-,4,100,66,87,32,-,-,-
S01001527,364,364,-,-,364,363,1,-,21,174,74,94,1,-,-
S01001528,343,343,-,-,343,339,-,4,260,58,9,15,1,-,-
S01001529,359,359,-,-,359,354,-,5,25,90,61,176,7,-,-
S01001530,312,312,-,-,312,303,-,9,8,93,166,45,-,-,-
S01001531,483,483,-,-,483,478,-,5,118,54,91,212,3,5,-
S01001532,286,286,-,-,286,280,1,5,117,47,9,99,9,5,-
S01001533,423,423,-,-,423,398,-,25,179,209,9,26,-,-,-
S01001534,248,248,-,-,248,246,-,2,91,133,22,2,-,-,-
S01001535,359,359,-,-,359,353,-,6,182,65,70,39,1,2,-
S01001536,341,341,-,-,341,328,-,13,31,117,95,96,-,2,-
S01001537,219,219,-,-,219,218,-,1,41,58,38,79,1,2,-
S01001538,336,336,-,-,336,332,-,4,108,127,97,1,2,1,-
S01001539,295,295,-,-,295,295,-,-,172,73,5,45,-,-,-
S01001540,274,274,-,-,274,269,-,5,206,41,23,2,2,-,-
S01001541,359,359,-,-,359,355,-,4,142,153,17,46,1,-,-
S01001542,280,280,-,-,280,275,-,5,117,111,28,24,-,-,-
S01001543,297,297,-,-,297,293,1,3,110,93,49,40,5,-,-
S01001544,404,404,-,-,404,391,3,10,156,79,92,72,1,3,1
S01001545,293,293,-,-,293,287,-,6,137,83,51,21,-,1,-
S01001546,477,477,-,-,477,461,1,15,51,99,101,220,4,2,-
S01001547,403,403,-,-,403,397,-,6,35,131,137,95,2,3,-
S01001548,403,403,-,-,403,399,-,4,185,116,77,25,-,-,-
S01001549,456,456,-,-,456,430,-,26,104,116,147,82,5,2,-
S01001550,333,333,-,-,333,319,7,7,161,120,51,1,-,-,-
S01001551,411,411,-,-,411,397,3,11,156,158,72,23,2,-,-
S01001552,389,389,-,-,389,376,3,10,75,131,136,45,1,-,1
S01001553,433,433,-,-,433,401,4,28,178,142,90,12,9,2,-
S01001554,415,415,-,-,415,410,1,4,156,168,74,10,6,1,-
S01001555,332,332,-,-,332,327,1,4,30,95,117,87,2,1,-
S01001556,391,391,-,-,391,386,-,5,79,164,73,55,18,2,-
S01001557,366,366,-,-,366,353,7,6,250,87,17,2,10,-,-
S01001558,375,375,-,-,375,368,2,5,33,249,81,12,-,-,-
S01001559,205,205,-,-,205,187,3,15,25,132,41,6,1,-,-
S01001560,297,297,-,-,297,289,2,6,31,58,47,156,2,3,-
S01001561,511,511,-,-,511,492,8,11,159,182,133,35,-,2,-
S01001562,996,996,-,-,996,980,1,15,404,189,250,149,3,1,-
S01001563,235,235,-,-,235,231,-,4,62,102,45,26,-,-,-
S01001564,257,257,-,-,257,250,6,1,6,170,74,7,-,-,-
S01001565,393,393,-,-,393,373,11,9,2,85,87,217,2,-,-
S01001566,267,267,-,-,267,260,6,1,32,119,112,4,-,-,-
S01001567,411,411,-,-,411,406,-,5,103,112,181,14,-,1,-
S01001568,334,334,-,-,334,327,2,5,91,37,63,116,27,-,-
S01001569,308,308,-,-,308,305,1,2,85,101,101,21,-,-,-
S01001570,175,175,-,-,175,170,3,2,67,69,34,5,-,-,-
S01001571,304,304,-,-,304,294,-,10,8,58,130,108,-,-,-
S01001572,234,234,-,-,234,226,6,2,17,89,91,37,-,-,-
S01001573,303,303,-,-,303,284,15,4,125,96,67,7,6,2,-
S01001574,374,374,-,-,374,365,5,4,12,143,155,61,2,1,-
S01001575,383,383,-,-,383,378,-,5,12,57,92,215,6,1,-
S01001576,284,284,-,-,284,280,1,3,16,107,98,62,1,-,-
S01001577,297,297,-,-,297,290,4,3,21,79,170,27,-,-,-
S01001578,345,345,-,-,345,341,-,4,28,154,126,36,-,1,-
S01001579,354,354,-,-,354,349,1,4,26,122,102,102,1,1,-
S01001580,278,278,-,-,278,271,-,7,33,60,66,119,-,-,-
S01001581,283,283,-,-,283,278,2,3,49,124,74,34,2,-,-
S01001582,329,329,-,-,329,320,-,9,17,125,146,41,-,-,-
S01001583,191,191,-,-,191,187,2,2,36,62,72,20,-,1,-
S01001584,379,379,-,-,379,371,2,6,24,49,52,249,3,2,-
S01001585,497,497,-,-,497,485,6,6,18,17,55,394,7,6,-
S01001586,169,169,-,-,169,167,1,1,97,58,6,6,2,-,-
S01001587,396,396,-,-,396,379,11,6,23,105,153,114,-,1,-
S01001588,339,339,-,-,339,333,-,6,8,102,104,123,1,1,-
S01001589,397,397,-,-,397,389,2,6,24,75,195,102,1,-,-
S01001590,291,291,-,-,291,282,6,3,8,20,108,150,4,1,-
S01001591,292,292,-,-,292,287,-,5,21,150,25,95,1,-,-
S01001592,337,337,-,-,337,331,-,6,6,67,78,186,-,-,-
S01001593,363,363,-,-,363,360,-,3,20,64,91,170,7,11,-
S01001594,500,500,-,-,500,481,3,16,16,34,37,375,26,12,-
S01001595,319,319,-,-,319,309,-,10,16,51,11,222,3,16,-
S01001596,342,342,-,-,342,327,9,6,41,55,134,98,14,-,-
S01001597,376,376,-,-,376,366,4,6,12,17,50,269,19,9,-
S01001598,292,292,-,-,292,284,2,6,68,89,90,43,2,-,-
S01001599,580,580,-,-,580,563,1,16,11,24,60,464,14,6,1
S01001600,595,595,-,-,595,573,4,18,8,35,34,501,13,3,1
S01001601,515,515,-,-,515,483,25,7,256,139,94,12,7,-,7
S01001602,301,301,-,-,301,279,4,18,165,31,23,73,6,3,-
S01001603,432,432,-,-,432,424,1,7,125,64,73,135,14,21,-
S01001604,234,234,-,-,234,223,6,5,25,88,92,25,4,-,-
S01001605,336,336,-,-,336,331,-,5,78,121,132,2,1,2,-
S01001606,294,294,-,-,294,284,-,10,17,49,47,171,10,-,-
S01001607,"1,043","1,043",-,-,"1,043","1,010",2,31,330,211,256,225,19,2,-
S01001608,405,405,-,-,405,401,-,4,81,165,74,81,3,1,-
S01001609,371,371,-,-,371,368,-,3,18,106,241,6,-,-,-
S01001610,400,399,-,1,402,376,6,20,70,104,91,79,22,36,-
S01001611,472,472,-,-,472,447,6,19,261,84,58,47,3,1,18
S01001612,347,347,-,-,347,338,1,8,183,106,9,47,2,-,-
S01001613,311,311,-,-,311,298,9,4,13,121,166,10,1,-,-
S01001614,384,384,-,-,384,357,1,26,30,50,89,171,23,21,-
S01001615,364,364,-,-,364,355,2,7,35,92,127,97,13,-,-
S01001616,258,258,-,-,258,255,1,2,158,89,7,2,2,-,-
S01001617,318,318,-,-,318,300,9,9,12,96,152,55,2,1,-
S01001618,458,458,-,-,458,425,15,18,164,104,101,47,38,4,-
S01001619,303,303,-,-,303,300,1,2,20,103,148,30,1,1,-
S01001620,497,497,-,-,497,480,2,15,31,244,134,86,1,1,-
S01001621,279,279,-,-,279,276,-,3,15,166,93,5,-,-,-
S01001622,390,390,-,-,390,361,9,20,24,90,100,142,16,18,-
S01001623,381,381,-,-,381,370,-,11,18,205,98,53,7,-,-
S01001624,433,433,-,-,433,428,1,4,40,198,114,76,3,1,1
S01001625,364,364,-,-,364,354,1,9,16,92,123,116,13,4,-
S01001626,300,300,-,-,300,292,4,4,52,122,104,14,7,1,-
S01001627,621,621,-,-,621,612,-,9,104,257,97,161,1,1,-
S01001628,249,249,-,-,249,246,1,2,8,79,146,16,-,-,-
S01001629,265,265,-,-,265,261,2,2,34,111,55,63,2,-,-
S01001630,294,294,-,-,294,283,1,10,14,41,28,203,6,2,-
S01001631,583,583,-,-,583,570,9,4,128,90,211,144,10,-,-
S01001632,212,212,-,-,212,212,-,-,92,61,57,1,-,1,-
S01001633,362,362,-,-,362,358,2,2,226,109,17,4,6,-,-
S01001634,374,374,-,-,374,370,-,4,164,91,111,7,1,-,-
S01001635,330,330,-,-,330,324,-,6,42,77,160,49,2,-,-
S01001636,207,207,-,-,207,205,-,2,42,123,40,2,-,-,-
S01001637,313,313,-,-,313,300,6,7,120,79,38,72,2,-,2
S01001638,440,440,-,-,440,420,5,15,41,77,144,157,16,5,-
S01001639,364,364,-,-,364,354,3,7,79,57,135,83,2,8,-
S01001640,274,274,-,-,274,271,2,1,198,39,32,3,1,1,-
S01001641,600,600,-,-,600,579,11,10,333,201,53,6,4,2,1
S01001642,440,440,-,-,440,430,3,7,123,228,80,7,-,1,1
S01001643,336,336,-,-,336,331,2,3,75,120,74,54,13,-,-
S01001644,637,637,-,-,637,636,-,1,257,282,29,67,-,2,-
S01001645,475,475,-,-,475,439,23,13,74,65,90,192,42,12,-
S01001646,262,262,-,-,262,252,2,8,110,105,41,2,4,-,-
S01001647,343,343,-,-,343,327,10,6,162,72,8,98,2,1,-
S01001648,311,311,-,-,311,303,2,6,50,121,88,48,2,2,-
S01001649,362,362,-,-,362,355,2,5,41,134,20,164,1,2,-
S01001650,358,358,-,-,358,311,38,9,112,67,93,70,12,-,4
S01001651,439,439,-,-,439,413,14,12,71,124,38,165,22,19,-
S01001652,347,347,-,-,347,334,9,4,201,64,63,9,9,-,1
S01001653,353,353,-,-,353,319,15,19,9,43,91,179,21,10,-
S01001654,372,372,-,-,372,361,2,9,155,114,95,4,1,2,1
S01001655,277,277,-,-,277,255,7,15,88,84,73,19,11,2,-
S01001656,647,647,-,-,647,614,17,16,122,226,136,133,20,9,1
S01001657,244,244,-,-,244,213,30,1,111,53,70,2,6,-,2
S01001658,425,425,-,-,425,414,6,5,207,81,69,63,5,-,-
S01001659,351,351,-,-,351,332,11,8,165,75,57,45,8,1,-
S01001660,379,379,-,-,379,319,50,10,191,105,42,16,25,-,-
S01001661,395,395,-,-,395,350,19,26,166,149,60,10,8,2,-
S01001662,326,326,-,-,326,322,2,2,24,107,120,72,2,1,-
S01001663,360,360,-,-,360,346,8,6,175,64,59,30,32,-,-
S01001664,201,201,-,-,201,199,2,-,132,22,22,23,2,-,-
S01001665,423,423,-,-,423,400,21,2,215,36,37,113,22,-,-
S01001666,319,319,-,-,319,258,50,11,58,54,42,100,65,-,-
S01001667,447,447,-,-,447,394,47,6,131,56,41,170,47,2,-
S01001668,433,433,-,-,433,355,76,2,136,51,23,76,146,1,-
S01001669,492,492,-,-,492,386,96,10,31,33,77,281,36,34,-
S01001670,271,271,-,-,271,250,-,21,77,135,13,44,2,-,-
S01001671,204,204,-,-,204,201,-,3,51,119,28,3,1,1,1
S01001672,277,277,-,-,277,268,1,8,24,96,87,56,14,-,-
S01001673,293,293,-,-,293,290,-,3,31,70,164,10,17,1,-
S01001674,360,360,-,-,360,346,-,14,52,110,124,69,3,2,-
S01001675,298,298,-,-,298,296,-,2,101,51,71,73,-,2,-
S01001676,497,497,-,-,497,484,1,12,299,77,41,78,-,2,-
S01001677,325,325,-,-,325,319,-,6,172,59,62,32,-,-,-
S01001678,320,320,-,-,320,316,-,4,94,144,60,21,-,-,1
S01001679,319,319,-,-,319,313,-,6,205,13,8,92,1,-,-
S01001680,258,258,-,-,258,257,-,1,202,16,2,35,2,1,-
S01001681,252,252,-,-,252,248,1,3,224,23,1,3,1,-,-
S01001682,230,230,-,-,230,226,-,4,69,95,34,32,-,-,-
S01001683,328,328,-,-,328,326,-,2,149,52,4,123,-,-,-
S01001684,217,217,-,-,217,215,-,2,120,74,21,1,-,1,-
S01001685,336,336,-,-,336,330,-,6,95,88,37,116,-,-,-
S01001686,354,354,-,-,354,347,1,6,214,46,42,51,-,-,1
S01001687,509,509,-,-,509,489,1,19,176,62,12,250,5,4,-
S01001688,417,417,-,-,417,409,-,8,89,223,43,56,4,2,-
S01001689,290,290,-,-,290,288,-,2,214,43,3,26,4,-,-
S01001690,373,373,-,-,373,365,2,6,132,45,126,69,-,-,1
S01001691,333,333,-,-,333,328,1,4,240,71,2,18,2,-,-
S01001692,277,277,-,-,277,268,-,9,69,43,73,92,-,-,-
S01001693,263,263,-,-,263,262,-,1,173,78,4,8,-,-,-
S01001694,315,315,-,-,315,311,-,4,41,88,62,123,1,-,-
S01001695,329,329,-,-,329,322,-,7,130,67,43,87,-,2,-
S01001696,322,322,-,-,322,320,-,2,149,54,101,18,-,-,-
S01001697,331,330,1,-,332,327,1,4,80,141,44,62,5,-,-
S01001698,237,237,-,-,237,235,-,2,41,70,96,29,1,-,-
S01001699,204,204,-,-,204,204,-,-,193,6,4,1,-,-,-
S01001700,362,362,-,-,362,359,-,3,280,70,2,9,-,1,-
S01001701,434,434,-,-,434,424,-,10,41,137,124,131,-,1,-
S01001702,474,474,-,-,474,454,-,20,190,95,32,156,1,-,-
S01001703,317,317,-,-,317,313,1,3,143,86,57,29,2,-,-
S01001704,357,357,-,-,357,350,1,6,282,27,11,35,2,-,-
S01001705,227,227,-,-,227,227,-,-,98,91,32,5,1,-,-
S01001706,286,286,-,-,286,285,-,1,152,116,16,2,-,-,-
S01001707,378,378,-,-,378,368,-,10,30,80,92,164,5,7,-
S01001708,386,386,-,-,386,378,1,7,212,25,40,104,3,2,-
S01001709,247,247,-,-,247,246,-,1,69,52,79,47,-,-,-
S01001710,310,310,-,-,310,300,1,9,70,45,62,125,7,1,-
S01001711,289,289,-,-,289,288,-,1,60,121,105,2,1,-,-
S01001712,192,192,-,-,192,188,-,4,22,88,77,4,-,-,1
S01001713,295,295,-,-,295,290,-,5,135,149,6,5,-,-,-
S01001714,268,268,-,-,268,264,-,4,75,139,13,37,-,4,-
S01001715,295,295,-,-,295,291,-,4,182,102,4,7,-,-,-
S01001716,380,380,-,-,380,377,-,3,55,133,37,154,-,1,-
S01001717,302,302,-,-,302,302,-,-,150,55,96,1,-,-,-
S01001718,214,214,-,-,214,212,-,2,46,67,30,68,3,-,-
S01001719,269,269,-,-,269,269,-,-,81,178,8,2,-,-,-
S01001720,246,246,-,-,246,242,-,4,97,119,18,9,2,1,-
S01001721,332,332,-,-,332,321,2,9,82,96,13,141,-,-,-
S01001722,293,293,-,-,293,291,-,2,22,116,90,56,7,1,1
S01001723,360,360,-,-,360,355,1,4,196,38,6,116,4,-,-
S01001724,377,377,-,-,377,370,-,7,39,88,41,197,3,9,-
S01001725,348,348,-,-,348,343,-,5,106,102,58,81,-,1,-
S01001726,240,240,-,-,240,238,-,2,65,170,3,2,-,-,-
S01001727,427,427,-,-,427,421,-,6,84,177,46,114,5,1,-
S01001728,230,230,-,-,230,229,-,1,16,206,8,-,-,-,-
S01001729,390,390,-,-,390,387,-,3,105,85,196,4,-,-,-
S01001730,260,260,-,-,260,248,-,12,20,189,45,4,-,2,-
S01001731,254,254,-,-,254,252,-,2,168,62,15,9,-,-,-
S01001732,243,243,-,-,243,230,1,12,95,114,11,21,2,-,-
S01001733,344,344,-,-,344,342,-,2,103,79,133,26,2,-,1
S01001734,208,208,-,-,208,206,-,2,158,40,7,3,-,-,-
S01001735,182,182,-,-,182,181,1,-,39,92,36,15,-,-,-
S01001736,419,419,-,-,419,415,1,3,193,107,2,113,4,-,-
S01001737,244,244,-,-,244,241,-,3,3,70,164,6,-,1,-
S01001738,218,218,-,-,218,218,-,-,146,67,2,2,-,1,-
S01001739,243,243,-,-,243,243,-,-,7,39,193,3,1,-,-
S01001740,312,312,-,-,312,303,-,9,63,64,128,27,3,2,25
S01001741,259,259,-,-,259,254,-,5,18,147,45,48,-,1,-
S01001742,302,302,-,-,302,291,-,11,19,147,86,49,1,-,-
S01001743,463,463,-,-,463,455,-,8,16,139,129,179,-,-,-
S01001744,197,197,-,-,197,195,-,2,88,98,9,2,-,-,-
S01001745,342,342,-,-,342,337,-,5,8,113,217,4,-,-,-
S01001746,354,354,-,-,354,349,1,4,134,95,70,54,1,-,-
S01001747,397,397,-,-,397,386,-,11,23,205,123,45,1,-,-
S01001748,257,257,-,-,257,255,-,2,129,118,6,3,-,1,-
S01001749,383,383,-,-,383,373,1,9,43,94,23,222,-,1,-
S01001750,315,315,-,-,315,308,1,6,90,139,19,61,6,-,-
S01001751,449,447,2,-,451,450,-,1,51,128,75,196,-,1,-
S01001752,347,347,-,-,347,346,-,1,142,151,48,2,4,-,-
S01001753,327,327,-,-,327,324,-,3,13,94,94,125,-,1,-
S01001754,271,271,-,-,271,266,2,3,87,120,31,31,1,-,1
S01001755,409,409,-,-,409,405,-,4,120,115,103,68,2,1,-
S01001756,322,322,-,-,322,312,1,9,63,46,83,125,5,-,-
S01001757,332,332,-,-,332,327,1,4,122,61,21,121,7,-,-
S01001758,360,360,-,-,360,349,1,10,66,38,88,159,4,5,-
S01001759,419,419,-,-,419,407,1,11,14,19,28,344,6,8,-
S01001760,351,351,-,-,351,343,-,8,53,109,50,137,2,-,-
S01001761,384,384,-,-,384,372,-,12,37,48,36,231,18,14,-
S01001762,474,474,-,-,474,451,2,21,52,132,44,236,9,1,-
S01001763,278,278,-,-,278,276,-,2,69,32,174,3,-,-,-
S01001764,192,192,-,-,192,189,-,3,25,93,61,12,1,-,-
S01001765,472,472,-,-,472,467,-,5,55,157,51,205,-,4,-
S01001766,245,245,-,-,245,243,-,2,42,132,23,48,-,-,-
S01001767,242,242,-,-,242,238,-,4,53,101,46,39,3,-,-
S01001768,251,251,-,-,251,247,-,4,13,138,31,67,2,-,-
S01001769,314,314,-,-,314,303,-,11,32,124,4,153,1,-,-
S01001770,321,321,-,-,321,311,-,10,9,19,40,245,-,7,1
S01001771,353,353,-,-,353,347,-,6,14,195,22,121,1,-,-
S01001772,303,303,-,-,303,284,1,18,54,84,13,144,7,1,-
S01001773,445,445,-,-,445,437,-,8,11,146,62,223,3,-,-
S01001774,266,266,-,-,266,265,-,1,10,194,39,22,1,-,-
S01001775,374,374,-,-,374,369,1,4,16,32,171,154,1,-,-
S01001776,327,327,-,-,327,319,-,8,65,30,29,199,4,-,-
S01001777,331,331,-,-,331,330,-,1,21,79,174,50,7,-,-
S01001778,415,415,-,-,415,403,-,12,37,62,98,212,5,1,-
S01001779,264,264,-,-,264,257,2,5,52,58,48,104,-,2,-
S01001780,406,406,-,-,406,390,-,16,16,177,66,134,11,2,-
S01001781,264,264,-,-,264,261,-,3,35,201,4,24,-,-,-
S01001782,409,409,-,-,409,404,-,5,45,241,32,89,2,-,-
S01001783,273,273,-,-,273,265,-,8,16,106,49,101,1,-,-
S01001784,280,280,-,-,280,269,1,10,45,99,69,66,1,-,-
S01001785,240,240,-,-,240,239,-,1,17,191,15,14,3,-,-
S01001786,217,217,-,-,217,216,-,1,73,72,43,28,-,-,1
S01001787,245,245,-,-,245,238,-,7,147,90,3,3,1,1,-
S01001788,319,319,-,-,319,315,1,3,70,196,36,16,1,-,-
S01001789,320,320,-,-,320,316,-,4,35,132,17,128,7,-,1
S01001790,317,317,-,-,317,312,1,4,96,88,10,120,1,1,1
S01001791,302,302,-,-,302,299,-,3,155,81,7,55,4,-,-
S01001792,290,290,-,-,290,282,4,4,77,85,86,42,-,-,-
S01001793,394,394,-,-,394,389,1,4,127,57,49,150,8,3,-
S01001794,380,380,-,-,380,376,-,4,157,76,107,37,1,2,-
S01001795,200,200,-,-,200,189,5,6,73,41,40,43,3,-,-
S01001796,339,339,-,-,339,338,-,1,306,19,8,3,2,1,-
S01001797,318,318,-,-,318,316,-,2,52,116,71,78,-,1,-
S01001798,343,343,-,-,343,337,2,4,254,79,5,4,-,1,-
S01001799,369,369,-,-,369,368,-,1,27,208,47,79,7,1,-
S01001800,349,349,-,-,349,347,-,2,73,215,55,6,-,-,-
S01001801,383,383,-,-,383,369,2,12,292,36,30,23,1,1,-
S01001802,356,356,-,-,356,347,-,9,81,137,69,68,1,-,-
S01001803,430,430,-,-,430,424,2,4,142,177,91,20,-,-,-
S01001804,450,450,-,-,450,439,-,11,126,142,84,90,8,-,-
S01001805,316,316,-,-,316,314,-,2,34,132,142,8,-,-,-
S01001806,282,282,-,-,282,276,-,6,104,89,50,37,1,1,-
S01001807,355,355,-,-,355,352,-,3,133,176,35,7,2,2,-
S01001808,250,250,-,-,250,244,-,6,78,123,39,8,1,1,-
S01001809,535,535,-,-,535,528,-,7,14,57,83,379,2,-,-
S01001810,385,385,-,-,385,383,1,1,169,78,82,56,-,-,-
S01001811,282,282,-,-,282,280,-,2,197,78,1,6,-,-,-
S01001812,339,339,-,-,339,334,2,3,249,23,24,39,3,1,-
S01001813,286,286,-,-,286,284,-,2,203,73,1,9,-,-,-
S01001814,291,291,-,-,291,274,1,16,102,97,58,34,-,-,-
S01001815,356,356,-,-,356,352,-,4,121,186,3,46,-,-,-
S01001816,440,440,-,-,440,434,5,1,247,81,64,45,2,1,-
S01001817,300,300,-,-,300,295,-,5,18,145,78,57,-,2,-
S01001818,345,345,-,-,345,338,-,7,259,52,6,27,1,-,-
S01001819,415,415,-,-,415,403,3,9,260,69,35,36,15,-,-
S01001820,356,356,-,-,356,346,-,10,7,68,115,165,-,1,-
S01001821,203,203,-,-,203,179,-,24,17,104,63,16,2,1,-
S01001822,502,502,-,-,502,496,1,5,66,114,156,160,5,1,-
S01001823,433,432,1,-,434,429,-,5,35,126,115,153,4,1,-
S01001824,351,351,-,-,351,345,-,6,79,82,117,67,3,3,-
S01001825,348,348,-,-,348,346,1,1,103,111,72,47,15,-,-
S01001826,349,349,-,-,349,344,-,5,11,89,72,170,6,1,-
S01001827,377,377,-,-,377,369,-,8,35,45,61,221,9,6,-
S01001828,263,263,-,-,263,262,-,1,110,85,49,18,1,-,-
S01001829,383,383,-,-,383,367,2,14,76,52,65,161,20,9,-
S01001830,337,337,-,-,337,337,-,-,179,100,48,8,2,-,-
S01001831,353,353,-,-,353,349,-,4,16,80,111,144,1,1,-
S01001832,301,301,-,-,301,295,-,6,6,125,117,52,1,-,-
S01001833,502,502,-,-,502,489,2,11,167,127,71,122,11,4,-
S01001834,323,323,-,-,323,315,1,7,14,53,179,69,3,5,-
S01001835,269,269,-,-,269,260,-,9,80,77,47,61,4,-,-
S01001836,360,360,-,-,360,356,1,3,109,114,32,97,7,1,-
S01001837,386,386,-,-,386,381,-,5,181,63,29,103,7,3,-
S01001838,281,281,-,-,281,277,1,3,11,77,160,27,6,-,-
S01001839,439,439,-,-,439,433,1,5,14,63,144,217,1,-,-
S01001840,299,299,-,-,299,293,-,6,135,124,13,20,7,-,-
S01001841,305,305,-,-,305,304,-,1,6,25,11,261,2,-,-
S01001842,295,295,-,-,295,293,2,-,103,74,68,44,6,-,-
S01001843,376,376,-,-,376,369,2,5,2,9,20,343,1,1,-
S01001844,416,416,-,-,416,409,1,6,84,248,76,7,1,-,-
S01001845,270,270,-,-,270,270,-,-,135,90,33,12,-,-,-
S01001846,323,323,-,-,323,323,-,-,108,140,62,8,5,-,-
S01001847,419,419,-,-,419,414,-,5,42,83,167,124,3,-,-
S01001848,404,404,-,-,404,394,1,9,10,55,27,310,2,-,-
S01001849,254,254,-,-,254,252,1,1,170,34,12,32,6,-,-
S01001850,340,340,-,-,340,333,1,6,3,20,21,291,3,2,-
S01001851,323,323,-,-,323,321,-,2,144,117,10,52,-,-,-
S01001852,302,302,-,-,302,301,-,1,105,175,18,4,-,-,-
S01001853,324,324,-,-,324,316,-,8,159,130,24,9,2,-,-
S01001854,478,478,-,-,478,458,-,20,56,152,34,209,27,-,-
S01001855,336,336,-,-,336,335,-,1,163,54,32,83,4,-,-
S01001856,426,425,1,-,427,418,-,9,14,54,102,257,-,-,-
S01001857,327,327,-,-,327,323,-,4,46,120,87,74,-,-,-
S01001858,373,373,-,-,373,363,2,8,102,164,9,94,3,1,-
S01001859,436,436,-,-,436,433,-,3,21,191,156,68,-,-,-
S01001860,334,334,-,-,334,323,1,10,149,151,8,24,2,-,-
S01001861,416,416,-,-,416,404,-,12,2,44,37,332,1,-,-
S01001862,326,326,-,-,326,322,-,4,73,210,28,15,-,-,-
S01001863,349,349,-,-,349,348,-,1,51,212,62,23,1,-,-
S01001864,614,614,-,-,614,607,2,5,16,78,54,461,4,-,1
S01001865,335,335,-,-,335,325,-,10,6,21,20,286,2,-,-
S01001866,291,291,-,-,291,286,1,4,128,95,15,49,4,-,-
S01001867,295,295,-,-,295,289,-,6,22,177,58,31,-,7,-
S01001868,309,309,-,-,309,301,1,7,134,118,17,24,14,2,-
S01001869,388,388,-,-,388,386,-,2,77,77,96,134,3,1,-
S01001870,426,426,-,-,426,426,-,-,45,131,59,188,-,-,3
S01001871,848,848,-,-,848,827,8,13,52,44,154,590,7,1,-
S01001872,352,352,-,-,352,346,1,5,41,85,141,78,1,6,-
S01001873,294,294,-,-,294,291,-,3,72,166,19,24,9,4,-
S01001874,487,485,2,-,489,486,-,3,5,16,20,443,5,-,-
S01001875,347,347,-,-,347,338,-,9,250,73,8,12,4,-,-
S01001876,494,494,-,-,494,486,-,8,24,73,181,199,14,3,-
S01001877,400,400,-,-,400,393,-,7,14,82,103,199,2,-,-
S01001878,434,434,-,-,434,433,1,-,215,64,83,49,21,2,-
