"","datazone","year","type","count"
"250","S01000021",2001,"another_religion",4
"251","S01000021",2001,"none",376
"252","S01000021",2001,"not_announced",44
"253","S01000022",2001,"all_people",663
"254","S01000022",2001,"church_of_scotland",278
"255","S01000022",2001,"roman_catholic",50
"256","S01000022",2001,"other_christian",135
"257","S01000022",2001,"buddhist",3
"258","S01000022",2001,"hindu",0
"259","S01000022",2001,"jewish",0
"260","S01000022",2001,"muslim",6
"261","S01000022",2001,"sikh",0
"262","S01000022",2001,"another_religion",7
"263","S01000022",2001,"none",174
"264","S01000022",2001,"not_announced",10
"265","S01000023",2001,"all_people",805
"266","S01000023",2001,"church_of_scotland",309
"267","S01000023",2001,"roman_catholic",62
"268","S01000023",2001,"other_christian",137
"269","S01000023",2001,"buddhist",5
"270","S01000023",2001,"hindu",4
"271","S01000023",2001,"jewish",0
"272","S01000023",2001,"muslim",8
"273","S01000023",2001,"sikh",1
"274","S01000023",2001,"another_religion",4
"275","S01000023",2001,"none",238
"276","S01000023",2001,"not_announced",37
"277","S01000024",2001,"all_people",512
"278","S01000024",2001,"church_of_scotland",176
"279","S01000024",2001,"roman_catholic",26
"280","S01000024",2001,"other_christian",61
"281","S01000024",2001,"buddhist",1
"282","S01000024",2001,"hindu",0
"283","S01000024",2001,"jewish",2
"284","S01000024",2001,"muslim",13
"285","S01000024",2001,"sikh",0
"286","S01000024",2001,"another_religion",1
"287","S01000024",2001,"none",196
"288","S01000024",2001,"not_announced",36
"289","S01000025",2001,"all_people",874
"290","S01000025",2001,"church_of_scotland",275
"291","S01000025",2001,"roman_catholic",80
"292","S01000025",2001,"other_christian",162
"293","S01000025",2001,"buddhist",9
"294","S01000025",2001,"hindu",4
"295","S01000025",2001,"jewish",0
"296","S01000025",2001,"muslim",10
"297","S01000025",2001,"sikh",2
"298","S01000025",2001,"another_religion",8
"299","S01000025",2001,"none",277
"300","S01000025",2001,"not_announced",47
"301","S01000026",2001,"all_people",1053
"302","S01000026",2001,"church_of_scotland",449
"303","S01000026",2001,"roman_catholic",28
"304","S01000026",2001,"other_christian",58
"305","S01000026",2001,"buddhist",2
"306","S01000026",2001,"hindu",0
"307","S01000026",2001,"jewish",0
"308","S01000026",2001,"muslim",0
"309","S01000026",2001,"sikh",0
"310","S01000026",2001,"another_religion",2
"311","S01000026",2001,"none",457
"312","S01000026",2001,"not_announced",57
"313","S01000027",2001,"all_people",815
"314","S01000027",2001,"church_of_scotland",397
"315","S01000027",2001,"roman_catholic",43
"316","S01000027",2001,"other_christian",86
"317","S01000027",2001,"buddhist",0
"318","S01000027",2001,"hindu",0
"319","S01000027",2001,"jewish",0
"320","S01000027",2001,"muslim",0
"321","S01000027",2001,"sikh",1
"322","S01000027",2001,"another_religion",3
"323","S01000027",2001,"none",249
"324","S01000027",2001,"not_announced",36
"325","S01000028",2001,"all_people",969
"326","S01000028",2001,"church_of_scotland",400
"327","S01000028",2001,"roman_catholic",37
"328","S01000028",2001,"other_christian",30
"329","S01000028",2001,"buddhist",0
"330","S01000028",2001,"hindu",0
"331","S01000028",2001,"jewish",0
"332","S01000028",2001,"muslim",0
"333","S01000028",2001,"sikh",0
"334","S01000028",2001,"another_religion",3
"335","S01000028",2001,"none",452
"336","S01000028",2001,"not_announced",47
"337","S01000029",2001,"all_people",742
"338","S01000029",2001,"church_of_scotland",203
"339","S01000029",2001,"roman_catholic",89
"340","S01000029",2001,"other_christian",144
"341","S01000029",2001,"buddhist",4
"342","S01000029",2001,"hindu",0
"343","S01000029",2001,"jewish",1
"344","S01000029",2001,"muslim",8
"345","S01000029",2001,"sikh",0
"346","S01000029",2001,"another_religion",7
"347","S01000029",2001,"none",254
"348","S01000029",2001,"not_announced",32
"349","S01000030",2001,"all_people",500
"350","S01000030",2001,"church_of_scotland",174
"351","S01000030",2001,"roman_catholic",18
"352","S01000030",2001,"other_christian",25
"353","S01000030",2001,"buddhist",0
"354","S01000030",2001,"hindu",0
"355","S01000030",2001,"jewish",0
"356","S01000030",2001,"muslim",3
"357","S01000030",2001,"sikh",0
"358","S01000030",2001,"another_religion",0
"359","S01000030",2001,"none",264
"360","S01000030",2001,"not_announced",16
"361","S01000031",2001,"all_people",1029
"362","S01000031",2001,"church_of_scotland",428
"363","S01000031",2001,"roman_catholic",83
"364","S01000031",2001,"other_christian",121
"365","S01000031",2001,"buddhist",1
"366","S01000031",2001,"hindu",0
"367","S01000031",2001,"jewish",0
"368","S01000031",2001,"muslim",1
"369","S01000031",2001,"sikh",0
"370","S01000031",2001,"another_religion",7
"371","S01000031",2001,"none",347
"372","S01000031",2001,"not_announced",41
"373","S01000032",2001,"all_people",1089
"374","S01000032",2001,"church_of_scotland",449
"375","S01000032",2001,"roman_catholic",52
"376","S01000032",2001,"other_christian",40
"377","S01000032",2001,"buddhist",1
"378","S01000032",2001,"hindu",0
"379","S01000032",2001,"jewish",1
"380","S01000032",2001,"muslim",13
"381","S01000032",2001,"sikh",0
"382","S01000032",2001,"another_religion",2
"383","S01000032",2001,"none",477
"384","S01000032",2001,"not_announced",54
"385","S01000033",2001,"all_people",796
"386","S01000033",2001,"church_of_scotland",300
"387","S01000033",2001,"roman_catholic",22
"388","S01000033",2001,"other_christian",19
"389","S01000033",2001,"buddhist",0
"390","S01000033",2001,"hindu",0
"391","S01000033",2001,"jewish",0
"392","S01000033",2001,"muslim",3
"393","S01000033",2001,"sikh",0
"394","S01000033",2001,"another_religion",1
"395","S01000033",2001,"none",411
"396","S01000033",2001,"not_announced",40
"397","S01000034",2001,"all_people",1194
"398","S01000034",2001,"church_of_scotland",469
"399","S01000034",2001,"roman_catholic",76
"400","S01000034",2001,"other_christian",117
"401","S01000034",2001,"buddhist",4
"402","S01000034",2001,"hindu",3
"403","S01000034",2001,"jewish",0
"404","S01000034",2001,"muslim",7
"405","S01000034",2001,"sikh",0
"406","S01000034",2001,"another_religion",2
"407","S01000034",2001,"none",446
"408","S01000034",2001,"not_announced",70
"409","S01000035",2001,"all_people",1009
"410","S01000035",2001,"church_of_scotland",437
"411","S01000035",2001,"roman_catholic",39
"412","S01000035",2001,"other_christian",64
"413","S01000035",2001,"buddhist",5
"414","S01000035",2001,"hindu",2
"415","S01000035",2001,"jewish",4
"416","S01000035",2001,"muslim",2
"417","S01000035",2001,"sikh",0
"418","S01000035",2001,"another_religion",9
"419","S01000035",2001,"none",398
"420","S01000035",2001,"not_announced",49
"421","S01000036",2001,"all_people",744
"422","S01000036",2001,"church_of_scotland",299
"423","S01000036",2001,"roman_catholic",35
"424","S01000036",2001,"other_christian",45
"425","S01000036",2001,"buddhist",1
"426","S01000036",2001,"hindu",0
"427","S01000036",2001,"jewish",0
"428","S01000036",2001,"muslim",7
"429","S01000036",2001,"sikh",1
"430","S01000036",2001,"another_religion",6
"431","S01000036",2001,"none",322
"432","S01000036",2001,"not_announced",28
"433","S01000037",2001,"all_people",800
"434","S01000037",2001,"church_of_scotland",305
"435","S01000037",2001,"roman_catholic",31
"436","S01000037",2001,"other_christian",60
"437","S01000037",2001,"buddhist",0
"438","S01000037",2001,"hindu",0
"439","S01000037",2001,"jewish",0
"440","S01000037",2001,"muslim",2
"441","S01000037",2001,"sikh",0
"442","S01000037",2001,"another_religion",1
"443","S01000037",2001,"none",375
"444","S01000037",2001,"not_announced",26
"445","S01000038",2001,"all_people",684
"446","S01000038",2001,"church_of_scotland",302
"447","S01000038",2001,"roman_catholic",31
"448","S01000038",2001,"other_christian",22
"449","S01000038",2001,"buddhist",1
"450","S01000038",2001,"hindu",0
"451","S01000038",2001,"jewish",0
"452","S01000038",2001,"muslim",2
"453","S01000038",2001,"sikh",1
"454","S01000038",2001,"another_religion",1
"455","S01000038",2001,"none",306
"456","S01000038",2001,"not_announced",18
"457","S01000039",2001,"all_people",942
"458","S01000039",2001,"church_of_scotland",377
"459","S01000039",2001,"roman_catholic",40
"460","S01000039",2001,"other_christian",41
"461","S01000039",2001,"buddhist",3
"462","S01000039",2001,"hindu",1
"463","S01000039",2001,"jewish",1
"464","S01000039",2001,"muslim",4
"465","S01000039",2001,"sikh",1
"466","S01000039",2001,"another_religion",1
"467","S01000039",2001,"none",421
"468","S01000039",2001,"not_announced",52
"469","S01000040",2001,"all_people",970
"470","S01000040",2001,"church_of_scotland",397
"471","S01000040",2001,"roman_catholic",42
"472","S01000040",2001,"other_christian",47
"473","S01000040",2001,"buddhist",0
"474","S01000040",2001,"hindu",0
"475","S01000040",2001,"jewish",0
"476","S01000040",2001,"muslim",1
"477","S01000040",2001,"sikh",1
"478","S01000040",2001,"another_religion",5
"479","S01000040",2001,"none",420
"480","S01000040",2001,"not_announced",57
"481","S01000041",2001,"all_people",838
"482","S01000041",2001,"church_of_scotland",389
"483","S01000041",2001,"roman_catholic",50
"484","S01000041",2001,"other_christian",77
"485","S01000041",2001,"buddhist",0
"486","S01000041",2001,"hindu",0
"487","S01000041",2001,"jewish",0
"488","S01000041",2001,"muslim",3
"489","S01000041",2001,"sikh",0
"490","S01000041",2001,"another_religion",2
"491","S01000041",2001,"none",293
"492","S01000041",2001,"not_announced",24
"493","S01000042",2001,"all_people",951
"494","S01000042",2001,"church_of_scotland",403
"495","S01000042",2001,"roman_catholic",41
"496","S01000042",2001,"other_christian",34
"497","S01000042",2001,"buddhist",7
"498","S01000042",2001,"hindu",0
"499","S01000042",2001,"jewish",2
"500","S01000042",2001,"muslim",6
"501","S01000042",2001,"sikh",0
"502","S01000042",2001,"another_religion",13
"503","S01000042",2001,"none",412
"504","S01000042",2001,"not_announced",33
"505","S01000043",2001,"all_people",976
"506","S01000043",2001,"church_of_scotland",399
"507","S01000043",2001,"roman_catholic",52
"508","S01000043",2001,"other_christian",75
"509","S01000043",2001,"buddhist",1
"510","S01000043",2001,"hindu",0
"511","S01000043",2001,"jewish",2
"512","S01000043",2001,"muslim",1
"513","S01000043",2001,"sikh",0
"514","S01000043",2001,"another_religion",13
"515","S01000043",2001,"none",387
"516","S01000043",2001,"not_announced",46
"517","S01000044",2001,"all_people",951
"518","S01000044",2001,"church_of_scotland",390
"519","S01000044",2001,"roman_catholic",53
"520","S01000044",2001,"other_christian",54
"521","S01000044",2001,"buddhist",0
"522","S01000044",2001,"hindu",5
"523","S01000044",2001,"jewish",1
"524","S01000044",2001,"muslim",5
"525","S01000044",2001,"sikh",0
"526","S01000044",2001,"another_religion",4
"527","S01000044",2001,"none",413
"528","S01000044",2001,"not_announced",26
"529","S01000045",2001,"all_people",581
"530","S01000045",2001,"church_of_scotland",286
"531","S01000045",2001,"roman_catholic",40
"532","S01000045",2001,"other_christian",49
"533","S01000045",2001,"buddhist",0
"534","S01000045",2001,"hindu",5
"535","S01000045",2001,"jewish",0
"536","S01000045",2001,"muslim",4
"537","S01000045",2001,"sikh",1
"538","S01000045",2001,"another_religion",10
"539","S01000045",2001,"none",172
"540","S01000045",2001,"not_announced",14
"541","S01000046",2001,"all_people",768
"542","S01000046",2001,"church_of_scotland",423
"543","S01000046",2001,"roman_catholic",33
"544","S01000046",2001,"other_christian",53
"545","S01000046",2001,"buddhist",0
"546","S01000046",2001,"hindu",2
"547","S01000046",2001,"jewish",0
"548","S01000046",2001,"muslim",1
"549","S01000046",2001,"sikh",0
"550","S01000046",2001,"another_religion",4
"551","S01000046",2001,"none",232
"552","S01000046",2001,"not_announced",20
"553","S01000047",2001,"all_people",835
"554","S01000047",2001,"church_of_scotland",357
"555","S01000047",2001,"roman_catholic",59
"556","S01000047",2001,"other_christian",55
"557","S01000047",2001,"buddhist",2
"558","S01000047",2001,"hindu",3
"559","S01000047",2001,"jewish",0
"560","S01000047",2001,"muslim",5
"561","S01000047",2001,"sikh",0
"562","S01000047",2001,"another_religion",7
"563","S01000047",2001,"none",314
"564","S01000047",2001,"not_announced",33
"565","S01000048",2001,"all_people",925
"566","S01000048",2001,"church_of_scotland",438
"567","S01000048",2001,"roman_catholic",44
"568","S01000048",2001,"other_christian",63
"569","S01000048",2001,"buddhist",1
"570","S01000048",2001,"hindu",5
"571","S01000048",2001,"jewish",1
"572","S01000048",2001,"muslim",6
"573","S01000048",2001,"sikh",0
"574","S01000048",2001,"another_religion",4
"575","S01000048",2001,"none",339
"576","S01000048",2001,"not_announced",24
"577","S01000049",2001,"all_people",764
"578","S01000049",2001,"church_of_scotland",400
"579","S01000049",2001,"roman_catholic",49
"580","S01000049",2001,"other_christian",44
"581","S01000049",2001,"buddhist",1
"582","S01000049",2001,"hindu",0
"583","S01000049",2001,"jewish",0
"584","S01000049",2001,"muslim",7
"585","S01000049",2001,"sikh",0
"586","S01000049",2001,"another_religion",2
"587","S01000049",2001,"none",236
"588","S01000049",2001,"not_announced",25
"589","S01000050",2001,"all_people",780
"590","S01000050",2001,"church_of_scotland",392
"591","S01000050",2001,"roman_catholic",21
"592","S01000050",2001,"other_christian",50
"593","S01000050",2001,"buddhist",0
"594","S01000050",2001,"hindu",4
"595","S01000050",2001,"jewish",0
"596","S01000050",2001,"muslim",7
"597","S01000050",2001,"sikh",0
"598","S01000050",2001,"another_religion",11
"599","S01000050",2001,"none",273
"600","S01000050",2001,"not_announced",22
"601","S01000051",2001,"all_people",788
"602","S01000051",2001,"church_of_scotland",445
"603","S01000051",2001,"roman_catholic",37
"604","S01000051",2001,"other_christian",67
"605","S01000051",2001,"buddhist",0
"606","S01000051",2001,"hindu",0
"607","S01000051",2001,"jewish",0
"608","S01000051",2001,"muslim",7
"609","S01000051",2001,"sikh",0
"610","S01000051",2001,"another_religion",3
"611","S01000051",2001,"none",206
"612","S01000051",2001,"not_announced",23
"613","S01000052",2001,"all_people",677
"614","S01000052",2001,"church_of_scotland",218
"615","S01000052",2001,"roman_catholic",30
"616","S01000052",2001,"other_christian",41
"617","S01000052",2001,"buddhist",0
"618","S01000052",2001,"hindu",0
"619","S01000052",2001,"jewish",0
"620","S01000052",2001,"muslim",0
"621","S01000052",2001,"sikh",1
"622","S01000052",2001,"another_religion",1
"623","S01000052",2001,"none",350
"624","S01000052",2001,"not_announced",36
"625","S01000053",2001,"all_people",1285
"626","S01000053",2001,"church_of_scotland",584
"627","S01000053",2001,"roman_catholic",77
"628","S01000053",2001,"other_christian",95
"629","S01000053",2001,"buddhist",7
"630","S01000053",2001,"hindu",2
"631","S01000053",2001,"jewish",0
"632","S01000053",2001,"muslim",24
"633","S01000053",2001,"sikh",0
"634","S01000053",2001,"another_religion",8
"635","S01000053",2001,"none",453
"636","S01000053",2001,"not_announced",35
"637","S01000054",2001,"all_people",777
"638","S01000054",2001,"church_of_scotland",447
"639","S01000054",2001,"roman_catholic",38
"640","S01000054",2001,"other_christian",44
"641","S01000054",2001,"buddhist",0
"642","S01000054",2001,"hindu",0
"643","S01000054",2001,"jewish",0
"644","S01000054",2001,"muslim",1
"645","S01000054",2001,"sikh",0
"646","S01000054",2001,"another_religion",2
"647","S01000054",2001,"none",222
"648","S01000054",2001,"not_announced",23
"649","S01000055",2001,"all_people",754
"650","S01000055",2001,"church_of_scotland",229
"651","S01000055",2001,"roman_catholic",26
"652","S01000055",2001,"other_christian",42
"653","S01000055",2001,"buddhist",0
"654","S01000055",2001,"hindu",0
"655","S01000055",2001,"jewish",0
"656","S01000055",2001,"muslim",1
"657","S01000055",2001,"sikh",0
"658","S01000055",2001,"another_religion",9
"659","S01000055",2001,"none",383
"660","S01000055",2001,"not_announced",64
"661","S01000056",2001,"all_people",1049
"662","S01000056",2001,"church_of_scotland",411
"663","S01000056",2001,"roman_catholic",66
"664","S01000056",2001,"other_christian",153
"665","S01000056",2001,"buddhist",3
"666","S01000056",2001,"hindu",0
"667","S01000056",2001,"jewish",0
"668","S01000056",2001,"muslim",24
"669","S01000056",2001,"sikh",0
"670","S01000056",2001,"another_religion",1
"671","S01000056",2001,"none",353
"672","S01000056",2001,"not_announced",38
"673","S01000057",2001,"all_people",700
"674","S01000057",2001,"church_of_scotland",185
"675","S01000057",2001,"roman_catholic",34
"676","S01000057",2001,"other_christian",29
"677","S01000057",2001,"buddhist",0
"678","S01000057",2001,"hindu",0
"679","S01000057",2001,"jewish",0
"680","S01000057",2001,"muslim",15
"681","S01000057",2001,"sikh",0
"682","S01000057",2001,"another_religion",1
"683","S01000057",2001,"none",390
"684","S01000057",2001,"not_announced",46
"685","S01000058",2001,"all_people",1016
"686","S01000058",2001,"church_of_scotland",413
"687","S01000058",2001,"roman_catholic",87
"688","S01000058",2001,"other_christian",92
"689","S01000058",2001,"buddhist",3
"690","S01000058",2001,"hindu",4
"691","S01000058",2001,"jewish",0
"692","S01000058",2001,"muslim",0
"693","S01000058",2001,"sikh",0
"694","S01000058",2001,"another_religion",2
"695","S01000058",2001,"none",398
"696","S01000058",2001,"not_announced",17
"697","S01000059",2001,"all_people",1055
"698","S01000059",2001,"church_of_scotland",396
"699","S01000059",2001,"roman_catholic",51
"700","S01000059",2001,"other_christian",95
"701","S01000059",2001,"buddhist",6
"702","S01000059",2001,"hindu",2
"703","S01000059",2001,"jewish",4
"704","S01000059",2001,"muslim",3
"705","S01000059",2001,"sikh",2
"706","S01000059",2001,"another_religion",5
"707","S01000059",2001,"none",437
"708","S01000059",2001,"not_announced",54
"709","S01000060",2001,"all_people",577
"710","S01000060",2001,"church_of_scotland",115
"711","S01000060",2001,"roman_catholic",20
"712","S01000060",2001,"other_christian",34
"713","S01000060",2001,"buddhist",0
"714","S01000060",2001,"hindu",0
"715","S01000060",2001,"jewish",0
"716","S01000060",2001,"muslim",0
"717","S01000060",2001,"sikh",0
"718","S01000060",2001,"another_religion",5
"719","S01000060",2001,"none",324
"720","S01000060",2001,"not_announced",79
"721","S01000061",2001,"all_people",963
"722","S01000061",2001,"church_of_scotland",471
"723","S01000061",2001,"roman_catholic",66
"724","S01000061",2001,"other_christian",111
"725","S01000061",2001,"buddhist",3
"726","S01000061",2001,"hindu",6
"727","S01000061",2001,"jewish",1
"728","S01000061",2001,"muslim",11
"729","S01000061",2001,"sikh",0
"730","S01000061",2001,"another_religion",3
"731","S01000061",2001,"none",263
"732","S01000061",2001,"not_announced",28
"733","S01000062",2001,"all_people",1112
"734","S01000062",2001,"church_of_scotland",409
"735","S01000062",2001,"roman_catholic",76
"736","S01000062",2001,"other_christian",83
"737","S01000062",2001,"buddhist",3
"738","S01000062",2001,"hindu",0
"739","S01000062",2001,"jewish",0
"740","S01000062",2001,"muslim",3
