Zone Code,all_16_74_employed,managers_senior_officials,prof_occupations,associate_prof_technical_occ,admin_secretarial,skilled_trades_occ,personal_service,sales_customer_service,process_plant_machine_operatives,elementary
60QA000187,38,2,1,4,5,6,3,6,5,6
60QA000188,34,4,0,6,6,2,1,4,4,7
60QA000189,50,3,2,5,6,5,4,6,8,11
60QA000190,52,3,0,3,8,7,7,9,5,10
60QA000191,74,3,4,7,10,16,12,6,8,8
60QA000192,62,4,1,5,9,16,6,7,9,5
60QA000193,32,2,1,3,4,9,2,3,1,7
60QA000194,42,3,1,6,3,8,2,7,7,5
60QA000195,46,4,3,5,3,8,1,4,6,12
60QA000196,46,3,2,5,4,7,1,6,7,11
60QA000197,60,6,2,7,9,8,4,5,8,11
60QA000198,38,3,0,3,6,4,3,2,6,11
60QA000199,42,3,1,2,9,6,1,3,5,12
60QA000200,59,6,2,3,7,14,5,6,7,9
60QA000201,47,1,2,9,7,5,3,7,3,10
60QA000202,8,0,0,0,1,0,3,3,1,0
60QA000203,60,3,1,10,4,7,5,4,8,18
60QA000204,29,2,0,2,3,6,1,4,6,5
60QA000205,26,1,2,3,5,1,0,1,5,8
60QA000206,23,0,0,2,2,3,2,4,5,5
60QA000207,30,0,2,4,5,3,1,1,5,9
60QA000208,73,4,4,6,9,11,8,10,7,14
60QA000209,55,3,2,4,10,10,5,2,6,13
60QA000210,45,4,0,4,7,8,4,2,9,7
60QA000211,57,1,0,2,10,4,7,5,14,14
60QA000212,71,10,4,4,11,6,6,9,10,11
60QA000213,76,7,1,2,9,9,10,7,17,14
60QA000214,77,6,1,10,12,6,4,14,8,16
60QA000215,48,6,4,4,7,6,1,5,7,8
60QA000216,63,5,3,7,6,4,5,7,8,18
60QA000217,60,6,0,8,7,4,5,7,9,14
60QA000218,67,18,16,20,6,3,0,2,1,1
60QA000219,62,19,20,6,5,3,2,0,3,4
60QA000220,44,16,6,4,7,2,1,1,4,3
60QA000221,72,14,18,9,11,9,0,3,2,6
60QA000222,87,16,26,13,9,5,4,3,2,9
60QA000223,113,26,14,13,6,7,5,15,4,23
60QA000224,64,22,17,4,5,3,8,2,1,2
60QA000225,55,13,20,4,7,3,1,4,2,1
60QA000226,69,15,23,9,4,6,2,3,3,4
60QA000227,66,12,24,10,7,2,3,4,1,3
60QA000228,35,5,15,10,2,0,0,1,1,1
60QA000229,56,18,11,5,3,0,4,4,4,7
60QA000230,40,9,10,9,6,2,1,1,1,1
60QA000231,50,8,18,2,5,5,0,2,3,7
60QA000232,97,15,14,24,12,10,4,6,6,6
60QA000233,100,19,34,18,8,4,2,3,6,6
60QA000234,66,11,25,13,7,3,2,1,1,3
60QA000235,61,17,13,12,5,5,3,0,3,3
60QA000236,57,12,22,6,5,2,2,3,3,2
60QA000237,54,5,14,16,7,3,3,4,2,0
60QA000238,61,9,15,7,13,7,2,5,0,3
60QA000239,45,3,17,9,5,2,0,3,4,2
60QA000240,52,4,10,5,11,4,4,5,1,8
60QA000241,43,3,11,9,7,4,2,2,3,2
60QA000242,75,9,7,11,8,6,4,13,7,10
60QA000243,50,3,16,11,4,8,2,1,1,4
60QA000244,59,6,10,12,14,5,2,3,2,5
60QA000245,38,5,3,12,5,5,0,1,2,5
60QA000246,88,8,18,13,11,12,4,6,6,10
60QA000247,48,4,6,9,12,2,3,7,2,3
60QA000248,65,7,10,10,7,5,5,8,1,12
60QA000249,43,3,1,7,11,2,6,3,3,7
60QA000250,58,4,19,11,6,2,4,4,2,6
60QA000251,35,5,9,3,3,0,4,2,4,5
60QA000252,48,6,13,8,7,3,1,2,3,5
60QA000253,60,8,11,10,6,1,5,5,3,11
60QA000254,89,8,16,16,17,10,6,4,5,7
60QA000255,89,7,18,19,16,6,5,8,5,5
60QA000256,81,9,22,14,9,7,4,4,8,4
60QA000257,60,7,16,12,7,9,2,2,0,5
60QA000258,58,4,19,8,8,6,1,1,4,7
60QA000259,50,5,16,11,6,2,1,5,2,2
60QA000260,57,9,8,8,9,3,2,10,4,4
60QA000261,122,22,46,11,15,6,5,6,5,6
60QA000262,63,15,19,6,6,2,1,3,6,5
60QA000263,58,3,13,11,10,10,0,6,0,5
60QA000264,62,3,19,16,5,4,3,4,4,4
60QA000265,79,10,29,13,9,4,2,2,4,6
60QA000266,56,9,19,10,9,5,2,0,0,2
60QA000267,60,8,21,11,5,5,3,3,1,3
60QA000268,101,19,27,18,19,3,4,6,3,2
60QA000269,86,19,22,19,9,4,1,10,2,0
60QA000270,64,8,18,12,12,3,4,2,2,3
60QA000271,61,12,19,12,9,0,1,2,4,2
60QA000272,29,3,7,7,3,1,1,3,3,1
60QA000273,36,6,7,7,7,3,4,2,0,0
60QA000274,79,4,20,13,16,9,5,4,2,6
60QA000275,68,8,9,11,11,7,2,6,7,7
60QA000276,92,18,31,12,13,5,1,5,2,5
60QA000277,65,26,14,5,7,3,1,3,2,4
60QA000278,60,10,24,9,2,7,2,0,3,3
60QA000279,66,10,9,16,10,1,3,4,6,7
60QA000280,57,13,15,10,5,4,1,0,7,2
60QA000281,67,8,16,14,10,8,4,2,3,2
60QA000282,67,9,23,15,6,3,1,3,3,4
60QA000283,59,11,20,10,6,3,1,2,1,5
60QA000284,50,5,17,10,3,1,1,4,3,6
60QA000285,36,7,6,12,4,1,2,3,0,1
60QA000286,94,15,26,15,9,4,5,9,2,9
60QA000287,92,14,19,17,12,13,5,6,3,3
60QA000288,59,6,17,10,11,5,2,6,1,1
60QA000289,43,1,8,10,4,7,0,5,2,6
60QA000290,81,20,23,15,5,7,0,2,4,5
60QA000291,64,6,7,9,11,10,5,6,4,6
60QA000292,66,10,15,15,6,3,4,6,3,4
60QA000293,48,8,6,8,3,7,2,3,3,8
60QA000294,87,16,13,25,5,6,4,5,9,4
60QA000295,65,6,19,12,12,5,4,3,1,3
60QA000296,80,12,20,14,7,6,7,4,4,6
60QA000297,54,10,14,9,6,4,0,4,3,4
60QA000298,37,8,5,6,3,5,2,2,2,4
60QA000299,58,2,11,13,13,2,1,8,3,5
60QA000300,101,13,23,10,17,14,6,2,8,8
60QA000301,1,0,0,0,0,1,0,0,0,0
60QA000302,33,4,6,2,5,4,3,2,1,6
60QA000303,97,8,12,20,19,13,6,6,7,6
60QA000304,4,1,0,0,1,1,1,0,0,0
60QA000305,41,10,6,5,8,4,0,7,0,1
60QA000306,46,2,15,7,12,4,0,5,1,0
60QA000307,35,3,6,8,9,3,3,1,1,1
60QA000308,26,2,3,7,5,3,0,3,1,2
60QA000309,98,11,11,19,21,11,4,7,6,8
60QA000310,73,8,17,18,16,2,6,0,1,5
60QA000311,68,9,5,10,11,7,5,8,3,10
60QA000312,15,2,2,5,2,0,2,1,1,0
60QA000313,48,5,3,4,5,5,6,5,7,8
60QA000314,58,5,2,1,7,6,11,8,7,11
60QA000315,45,3,1,0,9,7,6,6,3,10
60QA000316,43,1,3,1,13,10,2,6,4,3
60QA000317,44,3,3,1,8,12,3,3,2,9
60QA000318,68,5,7,11,7,8,6,7,7,10
60QA000319,98,5,8,16,14,7,4,13,6,25
60QA000320,74,12,0,11,7,9,7,11,8,9
60QA000321,81,1,4,11,9,12,8,12,9,15
60QA000322,33,4,4,1,1,4,2,3,3,11
60QA000323,42,3,4,3,6,7,8,4,4,3
60QA000324,21,1,0,3,2,2,1,2,4,6
60QA000325,51,6,1,2,5,8,3,6,10,10
60QA000326,59,3,5,12,6,5,4,2,10,12
60QA000327,55,2,3,4,4,15,3,10,5,9
60QA000328,93,5,4,11,11,5,5,17,14,21
60QA000329,73,5,8,6,7,9,4,8,8,18
60QA000330,23,1,1,3,1,1,3,3,8,2
60QA000331,45,3,3,3,4,5,5,3,10,9
60QA000332,30,2,1,7,2,3,1,2,4,8
60QA000333,28,4,0,0,2,4,2,4,5,7
60QA000334,61,3,1,9,5,7,7,6,6,17
60QA000335,60,3,2,2,5,6,4,7,13,18
60QA000336,49,5,1,5,7,5,2,3,7,14
60QA000337,66,13,11,9,8,1,5,6,5,8
60QA000338,61,4,15,15,12,4,3,3,2,3
60QA000339,79,9,36,10,6,4,4,4,2,4
60QA000340,62,14,16,8,11,3,3,2,1,4
60QA000341,49,11,8,8,10,5,1,2,2,2
60QA000342,56,6,15,13,5,3,3,4,3,4
60QA000343,47,6,10,9,10,4,3,1,1,3
60QA000344,81,11,24,10,16,5,6,2,3,4
